datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2014-01-01,-283.0,-289.0,-294.0,-281.0,-289.0,-362.0,-362.0,-314.0,-319.0,-308.0,-301.0,-317.0,-305.0,-301.0,-310.0,-303.0,-299.0,-382.0,-305.0,-314.0,-296.0,-290.0,-287.0,-281.0,-348.0,-283.0,-328.0,-316.0,-301.0,-317.0,-310.0,-298.0,-299.0,-280.0,-280.0,-292.0
2014-01-02,-280.0,-285.0,-317.0,-321.0,-319.0,-296.0,-344.0,-337.0,-328.0,-308.0,-290.0,-339.0,-290.0,-299.0,-323.0,-296.0,-299.0,-287.0,-303.0,-308.0,-294.0,-283.0,-285.0,-281.0,-348.0,-283.0,-296.0,-301.0,-303.0,-290.0,-310.0,-280.0,-299.0,-280.0,-280.0,-292.0
2014-01-03,-280.0,-281.0,-307.0,-280.0,-355.0,-362.0,-344.0,-346.0,-328.0,-326.0,-303.0,-323.0,-328.0,-321.0,-298.0,-301.0,-299.0,-325.0,-292.0,-343.0,-305.0,-303.0,-303.0,-281.0,-348.0,-283.0,-290.0,-296.0,-303.0,-296.0,-310.0,-280.0,-290.0,-280.0,-280.0,-292.0
2014-01-04,-281.0,-283.0,-294.0,-285.0,-301.0,-314.0,-341.0,-325.0,-319.0,-294.0,-289.0,-305.0,-305.0,-312.0,-307.0,-332.0,-299.0,-382.0,-334.0,-346.0,-325.0,-305.0,-294.0,-281.0,-314.0,-283.0,-305.0,-316.0,-303.0,-298.0,-310.0,-314.0,-299.0,-280.0,-280.0,-292.0
2014-01-05,-283.0,-283.0,-316.0,-290.0,-292.0,-339.0,-368.0,-303.0,-375.0,-303.0,-285.0,-325.0,-289.0,-296.0,-323.0,-294.0,-289.0,-382.0,-289.0,-308.0,-285.0,-292.0,-283.0,-281.0,-305.0,-283.0,-290.0,-294.0,-294.0,-298.0,-310.0,-301.0,-299.0,-301.0,-280.0,-292.0
2014-01-06,-283.0,-330.0,-316.0,-285.0,-393.0,-337.0,-371.0,-359.0,-375.0,-308.0,-350.0,-353.0,-341.0,-280.0,-337.0,-298.0,-299.0,-334.0,-325.0,-307.0,-287.0,-298.0,-280.0,-281.0,-310.0,-283.0,-281.0,-285.0,-280.0,-281.0,-310.0,-314.0,-299.0,-301.0,-301.0,-292.0
2014-01-07,-281.0,-296.0,-305.0,-289.0,-359.0,-362.0,-382.0,-352.0,-361.0,-287.0,-310.0,-348.0,-328.0,-301.0,-310.0,-299.0,-299.0,-364.0,-317.0,-341.0,-319.0,-305.0,-346.0,-281.0,-312.0,-283.0,-343.0,-316.0,-303.0,-305.0,-310.0,-280.0,-290.0,-280.0,-280.0,-292.0
2014-01-08,-281.0,-283.0,-290.0,-283.0,-334.0,-292.0,-359.0,-397.0,-348.0,-310.0,-280.0,-290.0,-308.0,-328.0,-296.0,-319.0,-292.0,-350.0,-305.0,-339.0,-305.0,-294.0,-326.0,-281.0,-294.0,-281.0,-343.0,-316.0,-303.0,-305.0,-310.0,-357.0,-290.0,-280.0,-373.0,-292.0
2014-01-09,-280.0,-285.0,-290.0,-292.0,-289.0,-362.0,-361.0,-328.0,-335.0,-312.0,-280.0,-287.0,-285.0,-299.0,-310.0,-285.0,-299.0,-323.0,-301.0,-305.0,-296.0,-294.0,-312.0,-281.0,-294.0,-283.0,-335.0,-316.0,-303.0,-328.0,-303.0,-280.0,-290.0,-280.0,-280.0,-292.0
2014-01-10,-283.0,-285.0,-292.0,-303.0,-290.0,-298.0,-353.0,-348.0,-348.0,-326.0,-287.0,-280.0,-289.0,-281.0,-280.0,-280.0,-280.0,-316.0,-280.0,-280.0,-280.0,-281.0,-280.0,-281.0,-292.0,-281.0,-285.0,-292.0,-301.0,-299.0,-310.0,-303.0,-299.0,-280.0,-280.0,-292.0
2014-01-11,-280.0,-294.0,-290.0,-290.0,-292.0,-341.0,-332.0,-334.0,-364.0,-326.0,-287.0,-301.0,-287.0,-281.0,-280.0,-280.0,-290.0,-353.0,-280.0,-280.0,-280.0,-299.0,-280.0,-281.0,-285.0,-283.0,-285.0,-280.0,-280.0,-289.0,-310.0,-292.0,-290.0,-280.0,-280.0,-292.0
2014-01-12,-292.0,-285.0,-285.0,-292.0,-299.0,-294.0,-350.0,-334.0,-339.0,-326.0,-312.0,-350.0,-299.0,-303.0,-294.0,-296.0,-299.0,-290.0,-314.0,-346.0,-303.0,-303.0,-298.0,-281.0,-292.0,-283.0,-308.0,-298.0,-283.0,-292.0,-310.0,-314.0,-299.0,-280.0,-280.0,-292.0
2014-01-13,-283.0,-287.0,-316.0,-299.0,-310.0,-283.0,-382.0,-341.0,-382.0,-326.0,-280.0,-316.0,-290.0,-314.0,-298.0,-339.0,-299.0,-382.0,-353.0,-328.0,-303.0,-281.0,-290.0,-281.0,-290.0,-299.0,-287.0,-316.0,-301.0,-325.0,-310.0,-310.0,-299.0,-280.0,-280.0,-292.0
2014-01-14,-292.0,-280.0,-317.0,-292.0,-386.0,-352.0,-389.0,-352.0,-357.0,-317.0,-303.0,-353.0,-294.0,-301.0,-280.0,-280.0,-287.0,-280.0,-294.0,-280.0,-292.0,-280.0,-280.0,-280.0,-292.0,-281.0,-303.0,-280.0,-280.0,-280.0,-310.0,-303.0,-299.0,-280.0,-280.0,-292.0
2014-01-15,-287.0,-280.0,-319.0,-285.0,-406.0,-362.0,-371.0,-343.0,-346.0,-317.0,-352.0,-353.0,-328.0,-280.0,-307.0,-341.0,-290.0,-325.0,-323.0,-303.0,-319.0,-280.0,-283.0,-280.0,-289.0,-281.0,-283.0,-280.0,-280.0,-280.0,-310.0,-280.0,-290.0,-280.0,-280.0,-292.0
2014-01-16,-287.0,-283.0,-361.0,-283.0,-391.0,-362.0,-377.0,-366.0,-382.0,-326.0,-330.0,-353.0,-328.0,-344.0,-294.0,-326.0,-290.0,-307.0,-330.0,-346.0,-296.0,-305.0,-290.0,-281.0,-301.0,-294.0,-298.0,-292.0,-303.0,-285.0,-310.0,-328.0,-290.0,-307.0,-281.0,-292.0
2014-01-17,-305.0,-310.0,-361.0,-305.0,-411.0,-362.0,-425.0,-420.0,-413.0,-326.0,-352.0,-353.0,-328.0,-344.0,-337.0,-355.0,-299.0,-382.0,-353.0,-346.0,-316.0,-305.0,-346.0,-281.0,-348.0,-299.0,-343.0,-316.0,-303.0,-328.0,-310.0,-280.0,-299.0,-280.0,-280.0,-292.0
2014-01-18,-305.0,-294.0,-361.0,-323.0,-411.0,-362.0,-425.0,-420.0,-413.0,-326.0,-352.0,-353.0,-328.0,-344.0,-337.0,-350.0,-299.0,-382.0,-332.0,-346.0,-325.0,-305.0,-346.0,-281.0,-296.0,-299.0,-337.0,-316.0,-303.0,-328.0,-310.0,-280.0,-299.0,-280.0,-280.0,-292.0
2014-01-19,-292.0,-287.0,-316.0,-294.0,-362.0,-307.0,-380.0,-348.0,-352.0,-326.0,-294.0,-325.0,-285.0,-337.0,-298.0,-305.0,-299.0,-344.0,-332.0,-346.0,-298.0,-305.0,-346.0,-281.0,-283.0,-281.0,-343.0,-316.0,-289.0,-287.0,-310.0,-280.0,-299.0,-280.0,-280.0,-292.0
2014-01-20,-283.0,-283.0,-303.0,-307.0,-357.0,-307.0,-389.0,-344.0,-375.0,-326.0,-289.0,-353.0,-296.0,-317.0,-307.0,-326.0,-299.0,-370.0,-307.0,-321.0,-298.0,-281.0,-314.0,-281.0,-314.0,-299.0,-332.0,-316.0,-301.0,-325.0,-310.0,-280.0,-290.0,-280.0,-280.0,-292.0
2014-01-21,-280.0,-317.0,-319.0,-283.0,-326.0,-362.0,-364.0,-343.0,-350.0,-326.0,-352.0,-353.0,-299.0,-330.0,-325.0,-296.0,-299.0,-328.0,-292.0,-346.0,-314.0,-305.0,-303.0,-281.0,-308.0,-299.0,-296.0,-298.0,-303.0,-314.0,-310.0,-280.0,-299.0,-290.0,-290.0,-292.0
2014-01-22,-290.0,-308.0,-316.0,-299.0,-319.0,-362.0,-382.0,-371.0,-357.0,-326.0,-312.0,-353.0,-326.0,-344.0,-310.0,-323.0,-299.0,-382.0,-294.0,-346.0,-308.0,-305.0,-346.0,-281.0,-321.0,-281.0,-298.0,-296.0,-303.0,-299.0,-310.0,-280.0,-299.0,-292.0,-298.0,-292.0
2014-01-23,-280.0,-298.0,-290.0,-292.0,-287.0,-362.0,-377.0,-344.0,-353.0,-299.0,-301.0,-353.0,-294.0,-280.0,-325.0,-339.0,-299.0,-348.0,-317.0,-346.0,-294.0,-305.0,-310.0,-281.0,-319.0,-299.0,-334.0,-316.0,-303.0,-328.0,-310.0,-280.0,-299.0,-280.0,-280.0,-292.0
2014-01-24,-280.0,-323.0,-296.0,-289.0,-289.0,-339.0,-375.0,-391.0,-317.0,-317.0,-294.0,-353.0,-292.0,-344.0,-296.0,-321.0,-299.0,-339.0,-308.0,-346.0,-303.0,-305.0,-346.0,-281.0,-348.0,-307.0,-335.0,-314.0,-303.0,-328.0,-310.0,-303.0,-290.0,-280.0,-287.0,-292.0
2014-01-25,-280.0,-314.0,-299.0,-281.0,-287.0,-299.0,-386.0,-371.0,-325.0,-326.0,-299.0,-341.0,-305.0,-326.0,-289.0,-319.0,-299.0,-380.0,-292.0,-346.0,-296.0,-305.0,-346.0,-281.0,-303.0,-296.0,-298.0,-301.0,-303.0,-321.0,-310.0,-303.0,-299.0,-280.0,-280.0,-292.0
