datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2014-01-01,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-458.0,-460.0,-460.0,-458.0
2014-01-02,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-456.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-451.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-458.0
2014-01-03,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-458.0
2014-01-04,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-456.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-454.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-460.0
2014-01-05,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-458.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-454.0,-452.0,-458.0,-460.0,-458.0,-460.0,-458.0,-458.0,-458.0,-460.0,-460.0,-458.0
2014-01-06,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-456.0,-454.0,-458.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-452.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-458.0
2014-01-07,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-460.0,-458.0,-460.0,-456.0,-460.0,-460.0,-460.0,-458.0,-454.0,-458.0,-458.0,-456.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-458.0
2014-01-08,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-460.0,-460.0,-458.0
2014-01-09,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-458.0,-458.0,-458.0,-460.0
2014-01-10,-460.0,-460.0,-458.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-458.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0,-454.0,-460.0,-460.0,-460.0,-460.0,-458.0,-458.0,-458.0,-460.0,-460.0,-458.0
