datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2015-01-01,sky is clear,sky is clear,sky is clear,sky is clear,moderate rain,moderate rain,overcast clouds,light rain,sky is clear,sky is clear,broken clouds,overcast clouds,overcast clouds,scattered clouds,few clouds,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,few clouds,broken clouds,sky is clear,broken clouds,sky is clear,scattered clouds,sky is clear,sky is clear,few clouds,sky is clear,overcast clouds,broken clouds,sky is clear,broken clouds,broken clouds,scattered clouds
2015-01-02,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,light snow,light snow,overcast clouds,light rain,light rain,broken clouds,scattered clouds,overcast clouds,sky is clear,broken clouds,scattered clouds,scattered clouds,scattered clouds,light rain,scattered clouds,scattered clouds,few clouds,light snow,sky is clear,sky is clear,broken clouds,scattered clouds,sky is clear,few clouds,sky is clear,few clouds,overcast clouds,sky is clear
2015-01-03,light rain,broken clouds,sky is clear,light rain,sky is clear,sky is clear,sky is clear,sky is clear,snow,light snow,light rain,light rain,light rain,overcast clouds,sky is clear,light rain,scattered clouds,overcast clouds,scattered clouds,light rain,light snow,light rain,overcast clouds,broken clouds,sky is clear,light snow,few clouds,sky is clear,scattered clouds,sky is clear,few clouds,light rain,scattered clouds,light rain,light rain,light rain
2015-01-04,overcast clouds,light rain,sky is clear,light rain,sky is clear,sky is clear,sky is clear,sky is clear,snow,light snow,moderate rain,heavy intensity rain,heavy intensity rain,light rain,light snow,heavy intensity rain,light rain,moderate rain,light rain,light rain,light rain,light rain,light rain,scattered clouds,light rain,moderate rain,light rain,moderate rain,overcast clouds,light rain,light rain,light rain,few clouds,light rain,light rain,light rain
2015-01-05,moderate rain,moderate rain,scattered clouds,moderate rain,few clouds,few clouds,few clouds,few clouds,sky is clear,light snow,sky is clear,sky is clear,few clouds,light rain,sky is clear,few clouds,light rain,heavy intensity rain,moderate rain,heavy intensity rain,moderate rain,moderate rain,heavy intensity rain,light rain,moderate rain,heavy intensity rain,light rain,light rain,scattered clouds,light rain,overcast clouds,moderate rain,sky is clear,light rain,overcast clouds,light rain
2015-01-06,light rain,heavy intensity rain,sky is clear,light rain,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,few clouds,sky is clear,sky is clear,sky is clear,scattered clouds,light snow,broken clouds,light snow,sky is clear,light snow,sky is clear,light snow,scattered clouds,sky is clear,scattered clouds,light snow,light snow,light rain,sky is clear,sky is clear,light rain,sky is clear,scattered clouds,sky is clear,scattered clouds,broken clouds,sky is clear
2015-01-07,broken clouds,scattered clouds,sky is clear,light rain,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,scattered clouds,sky is clear,sky is clear,scattered clouds,scattered clouds,few clouds,scattered clouds,sky is clear,scattered clouds,sky is clear,broken clouds,sky is clear,sky is clear,scattered clouds,broken clouds,light snow,light snow,scattered clouds,scattered clouds,scattered clouds,sky is clear,light rain,sky is clear,light rain,moderate rain,few clouds
2015-01-08,sky is clear,sky is clear,sky is clear,scattered clouds,scattered clouds,scattered clouds,sky is clear,few clouds,sky is clear,sky is clear,broken clouds,sky is clear,sky is clear,sky is clear,sky is clear,light snow,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,scattered clouds,scattered clouds,few clouds,few clouds,few clouds,sky is clear,scattered clouds,light rain,light rain,sky is clear,light rain,light rain,light rain
2015-01-09,scattered clouds,scattered clouds,overcast clouds,few clouds,scattered clouds,overcast clouds,sky is clear,scattered clouds,scattered clouds,light snow,broken clouds,sky is clear,broken clouds,few clouds,broken clouds,broken clouds,light snow,few clouds,light snow,sky is clear,snow,scattered clouds,sky is clear,few clouds,light snow,snow,few clouds,sky is clear,broken clouds,few clouds,moderate rain,light rain,broken clouds,overcast clouds,broken clouds,moderate rain
2015-01-10,scattered clouds,scattered clouds,scattered clouds,scattered clouds,scattered clouds,broken clouds,scattered clouds,sky is clear,few clouds,snow,light rain,broken clouds,moderate rain,sky is clear,few clouds,sky is clear,sky is clear,sky is clear,light snow,broken clouds,scattered clouds,broken clouds,sky is clear,broken clouds,scattered clouds,snow,snow,sky is clear,few clouds,snow,heavy intensity rain,overcast clouds,light rain,light rain,light rain,heavy intensity rain
