datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2015-01-01,100.0,64.0,81.0,99.0,39.0,76.0,36.0,76.0,77.0,44.0,70.0,76.0,71.0,54.0,74.0,54.0,100.0,61.0,54.0,79.0,75.0,87.0,81.0,82.0,41.0,100.0,53.0,59.0,67.0,100.0,86.0,100.0,100.0,100.0,89.0,87.0
2015-01-02,100.0,67.0,96.0,92.0,48.0,70.0,47.0,69.0,75.0,57.0,89.0,100.0,99.0,63.0,77.0,65.0,100.0,62.0,61.0,65.0,71.0,89.0,68.0,76.0,49.0,95.0,53.0,58.0,68.0,98.0,76.0,100.0,100.0,100.0,99.0,91.0
2015-01-03,100.0,78.0,98.0,96.0,55.0,67.0,50.0,56.0,82.0,58.0,96.0,100.0,98.0,77.0,79.0,89.0,100.0,98.0,79.0,79.0,76.0,84.0,78.0,81.0,63.0,91.0,62.0,62.0,62.0,93.0,85.0,100.0,100.0,100.0,100.0,100.0
2015-01-04,100.0,97.0,97.0,100.0,60.0,66.0,47.0,63.0,79.0,74.0,90.0,89.0,96.0,89.0,88.0,90.0,100.0,96.0,95.0,96.0,98.0,84.0,100.0,76.0,91.0,99.0,96.0,96.0,87.0,100.0,84.0,90.0,100.0,100.0,100.0,99.0
2015-01-05,100.0,97.0,99.0,97.0,51.0,48.0,55.0,60.0,76.0,52.0,65.0,88.0,88.0,58.0,63.0,60.0,100.0,76.0,83.0,89.0,84.0,74.0,80.0,94.0,84.0,95.0,95.0,98.0,96.0,86.0,89.0,92.0,100.0,100.0,100.0,100.0
2015-01-06,100.0,93.0,93.0,96.0,43.0,42.0,53.0,55.0,72.0,39.0,58.0,82.0,77.0,66.0,74.0,57.0,100.0,54.0,78.0,67.0,77.0,85.0,60.0,81.0,49.0,100.0,51.0,39.0,75.0,100.0,70.0,62.0,100.0,100.0,95.0,93.0
2015-01-07,95.0,91.0,89.0,96.0,34.0,41.0,54.0,51.0,71.0,53.0,44.0,75.0,74.0,73.0,69.0,65.0,100.0,65.0,79.0,62.0,80.0,71.0,58.0,78.0,63.0,100.0,69.0,88.0,88.0,100.0,60.0,52.0,100.0,100.0,100.0,74.0
2015-01-08,99.0,91.0,85.0,100.0,35.0,43.0,56.0,37.0,81.0,68.0,35.0,62.0,64.0,65.0,70.0,53.0,100.0,43.0,68.0,46.0,68.0,61.0,52.0,59.0,43.0,100.0,43.0,44.0,75.0,100.0,97.0,77.0,100.0,100.0,99.0,100.0
2015-01-09,100.0,89.0,88.0,99.0,37.0,47.0,62.0,50.0,80.0,71.0,42.0,69.0,65.0,70.0,76.0,43.0,98.0,39.0,67.0,44.0,76.0,92.0,58.0,74.0,39.0,100.0,52.0,59.0,83.0,100.0,99.0,88.0,100.0,100.0,100.0,100.0
2015-01-10,98.0,89.0,88.0,96.0,61.0,62.0,54.0,54.0,80.0,71.0,72.0,57.0,95.0,59.0,72.0,56.0,100.0,48.0,70.0,44.0,73.0,72.0,52.0,66.0,56.0,100.0,54.0,61.0,74.0,100.0,98.0,94.0,100.0,100.0,100.0,100.0
