datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-10-01,100.0,93.0,92.0,93.0,82.0,97.0,42.0,41.0,45.0,65.0,64.0,79.0,87.0,73.0,82.0,79.0,84.0,93.0,73.0,100.0,87.0,100.0,82.0,82.0,77.0,85.0,93.0,87.0,70.0,100.0
2015-10-02,100.0,88.0,92.0,100.0,84.0,93.0,37.0,40.0,50.0,93.0,56.0,88.0,93.0,81.0,93.0,76.0,86.0,93.0,71.0,100.0,90.0,100.0,97.0,89.0,76.0,100.0,100.0,93.0,69.0,100.0
2015-10-03,100.0,89.0,91.0,100.0,82.0,88.0,46.0,39.0,72.0,94.0,71.0,67.0,93.0,94.0,93.0,93.0,93.0,93.0,93.0,100.0,93.0,95.0,100.0,88.0,100.0,75.0,93.0,100.0,80.0,95.0
2015-10-04,93.0,93.0,83.0,75.0,91.0,93.0,38.0,50.0,88.0,93.0,67.0,79.0,93.0,87.0,93.0,93.0,93.0,100.0,88.0,100.0,100.0,87.0,94.0,88.0,87.0,83.0,87.0,81.0,86.0,85.0
2015-10-05,100.0,87.0,94.0,87.0,82.0,93.0,87.0,77.0,84.0,93.0,55.0,70.0,100.0,100.0,100.0,93.0,94.0,100.0,93.0,100.0,93.0,100.0,90.0,94.0,93.0,94.0,93.0,87.0,93.0,82.0
2015-10-06,100.0,81.0,96.0,100.0,88.0,87.0,100.0,86.0,100.0,100.0,67.0,87.0,93.0,93.0,87.0,93.0,100.0,93.0,93.0,93.0,93.0,100.0,93.0,88.0,93.0,94.0,100.0,100.0,87.0,100.0
2015-10-07,100.0,88.0,83.0,100.0,82.0,93.0,77.0,88.0,93.0,100.0,63.0,82.0,100.0,100.0,100.0,88.0,87.0,100.0,100.0,100.0,93.0,83.0,100.0,94.0,93.0,82.0,100.0,100.0,100.0,100.0
2015-10-08,100.0,100.0,83.0,100.0,88.0,93.0,63.0,82.0,93.0,70.0,100.0,82.0,100.0,93.0,93.0,100.0,87.0,87.0,87.0,93.0,93.0,88.0,100.0,100.0,93.0,87.0,100.0,100.0,80.0,100.0
2015-10-09,100.0,100.0,94.0,100.0,78.0,88.0,46.0,69.0,96.0,84.0,100.0,77.0,100.0,94.0,100.0,82.0,91.0,100.0,83.0,93.0,100.0,94.0,100.0,100.0,96.0,95.0,100.0,93.0,100.0,100.0
2015-10-10,93.0,100.0,100.0,100.0,52.0,45.0,52.0,56.0,93.0,66.0,94.0,88.0,93.0,100.0,100.0,89.0,95.0,100.0,88.0,100.0,93.0,88.0,100.0,95.0,93.0,100.0,100.0,88.0,97.0,94.0
2015-10-11,87.0,100.0,94.0,100.0,57.0,94.0,61.0,56.0,87.0,75.0,88.0,65.0,100.0,88.0,93.0,93.0,76.0,100.0,87.0,93.0,87.0,94.0,100.0,94.0,93.0,82.0,100.0,100.0,76.0,100.0
2015-10-12,100.0,100.0,88.0,100.0,78.0,61.0,64.0,54.0,62.0,42.0,94.0,69.0,100.0,94.0,76.0,67.0,72.0,87.0,76.0,100.0,69.0,88.0,100.0,100.0,87.0,82.0,100.0,100.0,82.0,100.0
2015-10-13,100.0,100.0,94.0,100.0,65.0,69.0,56.0,60.0,65.0,49.0,83.0,51.0,100.0,83.0,81.0,66.0,62.0,100.0,62.0,100.0,87.0,93.0,93.0,94.0,93.0,93.0,100.0,100.0,87.0,100.0
2015-10-14,100.0,90.0,97.0,100.0,88.0,95.0,67.0,67.0,48.0,54.0,47.0,63.0,93.0,67.0,100.0,87.0,100.0,84.0,86.0,87.0,98.0,97.0,93.0,100.0,81.0,96.0,93.0,93.0,87.0,94.0
2015-10-15,100.0,93.0,88.0,93.0,94.0,94.0,56.0,53.0,48.0,68.0,88.0,45.0,100.0,87.0,70.0,100.0,75.0,93.0,80.0,93.0,87.0,72.0,100.0,88.0,100.0,87.0,100.0,93.0,95.0,93.0
2015-10-16,100.0,93.0,94.0,100.0,89.0,94.0,60.0,55.0,48.0,75.0,87.0,63.0,100.0,75.0,74.0,57.0,100.0,78.0,60.0,93.0,94.0,93.0,93.0,100.0,93.0,99.0,93.0,93.0,100.0,92.0
2015-10-17,93.0,93.0,95.0,100.0,91.0,95.0,89.0,78.0,86.0,76.0,82.0,54.0,72.0,61.0,79.0,69.0,100.0,86.0,80.0,65.0,98.0,98.0,100.0,97.0,93.0,100.0,100.0,93.0,100.0,100.0
2015-10-18,100.0,93.0,93.0,100.0,93.0,100.0,86.0,88.0,87.0,69.0,71.0,44.0,81.0,88.0,100.0,92.0,82.0,70.0,86.0,93.0,86.0,76.0,93.0,82.0,86.0,100.0,86.0,100.0,87.0,100.0
2015-10-19,100.0,100.0,94.0,100.0,91.0,85.0,93.0,91.0,100.0,67.0,77.0,47.0,81.0,50.0,59.0,60.0,98.0,86.0,86.0,93.0,74.0,72.0,100.0,94.0,92.0,100.0,100.0,100.0,94.0,100.0
2015-10-20,100.0,96.0,96.0,98.0,87.0,90.0,91.0,93.0,93.0,78.0,87.0,61.0,94.0,39.0,93.0,61.0,66.0,66.0,49.0,87.0,56.0,84.0,100.0,78.0,54.0,82.0,70.0,94.0,80.0,95.0
2015-10-21,100.0,100.0,84.0,100.0,77.0,82.0,63.0,100.0,100.0,100.0,94.0,88.0,100.0,74.0,93.0,67.0,81.0,87.0,66.0,93.0,93.0,100.0,100.0,74.0,72.0,93.0,93.0,100.0,55.0,100.0
2015-10-22,100.0,93.0,87.0,100.0,88.0,93.0,76.0,87.0,100.0,100.0,100.0,88.0,94.0,88.0,100.0,100.0,82.0,87.0,77.0,93.0,77.0,94.0,100.0,94.0,72.0,93.0,100.0,93.0,100.0,100.0
