datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-01-01,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,5.0,6.0,9.0,1.0,5.0,1.0,8.0,3.0,4.0,4.0,5.0,9.0,4.0,5.0,9.0,7.0
2015-01-02,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,8.0,2.0,4.0,2.0,7.0,3.0,4.0,6.0,4.0,8.0,4.0,4.0,8.0,8.0
2015-01-03,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,8.0,3.0,5.0,2.0,3.0,5.0,6.0
2015-01-04,6.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,8.0,9.0,6.0,8.0,8.0,10.0,9.0,5.0,7.0,5.0,7.0,4.0,8.0,6.0,5.0,7.0,5.0,5.0,6.0,7.0
2015-01-05,7.0,4.0,4.0,6.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,4.0,6.0,5.0,8.0,4.0,7.0,6.0,4.0,8.0,5.0,6.0,10.0,9.0
2015-01-06,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,2.0,6.0,7.0,6.0,8.0,3.0,3.0,4.0,6.0,3.0,6.0,5.0,3.0,7.0,4.0,3.0,4.0,9.0
2015-01-07,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,10.0,11.0,6.0,8.0,8.0,9.0,11.0,6.0,6.0,7.0,8.0,5.0,8.0,3.0,5.0,8.0,5.0,6.0,7.0,9.0
2015-01-08,4.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,9.0,9.0,6.0,9.0,9.0,8.0,11.0,5.0,6.0,6.0,8.0,7.0,8.0,8.0,4.0,9.0,5.0,5.0,4.0,9.0
2015-01-09,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,7.0,4.0,7.0,9.0,7.0,10.0,4.0,8.0,3.0,9.0,3.0,6.0,5.0,5.0,9.0,5.0,6.0,7.0,8.0
2015-01-10,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,5.0,4.0,7.0,5.0,5.0,7.0,2.0,4.0,4.0,6.0,5.0,5.0,6.0,4.0,8.0,3.0,3.0,6.0,6.0
2015-01-11,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,6.0,2.0,5.0,7.0,3.0,3.0,3.0,6.0,5.0,2.0,7.0,2.0,7.0,2.0,2.0,6.0,6.0
2015-01-12,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,8.0,4.0,6.0,4.0,7.0,7.0,4.0,5.0,3.0,6.0,2.0,2.0,6.0,2.0,6.0,2.0,2.0,3.0,6.0
2015-01-13,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,6.0,7.0,4.0,5.0,4.0,7.0,6.0,4.0,4.0,2.0,6.0,2.0,7.0,3.0,2.0,6.0,3.0,3.0,4.0,8.0
2015-01-14,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0
2015-01-15,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,1.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,7.0,2.0,3.0,1.0,5.0
2015-01-16,9.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,7.0,6.0,3.0,6.0,1.0,4.0,3.0,6.0,3.0,3.0,6.0,3.0,7.0,4.0,4.0,6.0,9.0
