datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2012-10-01,53.0,48.0,61.0,47.55,66.0,65.0,68.0,74.27,54.27,53.0,61.27,62.45,59.55,62.64,57.18,55.73,52.64,58.0,51.73,70.0,52.45,77.73,60.0,80.0,46.64,56.0,55.27,59.64,55.0,57.64
2012-10-02,55.62,55.08,67.67,53.38,73.0,71.62,75.29,82.62,61.88,55.29,65.62,69.33,66.58,66.75,61.17,58.58,58.21,61.33,55.38,70.83,58.08,81.96,60.38,80.67,52.88,57.75,60.96,63.96,56.67,60.54
2012-10-03,54.21,61.67,74.88,58.04,78.67,76.46,81.5,85.54,64.38,59.96,67.38,71.38,70.42,65.92,56.25,59.21,60.71,60.96,56.0,68.88,59.96,79.92,72.25,79.04,63.17,57.62,62.96,62.46,57.54,60.54
2012-10-04,52.25,55.96,72.46,52.21,73.12,73.25,83.62,84.33,67.88,65.25,67.62,70.33,69.83,62.29,59.54,64.54,62.38,61.42,60.25,64.17,62.5,77.62,70.88,81.08,68.08,59.0,68.79,66.04,56.62,62.33
2012-10-05,51.08,59.25,63.46,52.83,67.75,69.29,81.54,83.58,67.42,45.54,77.08,73.83,74.96,60.42,53.62,67.33,64.5,65.83,63.71,66.21,65.0,76.38,69.96,83.58,64.96,61.17,69.58,69.62,57.96,61.54
2012-10-06,53.0,59.25,62.33,54.54,66.62,67.33,78.75,79.96,67.46,36.62,77.46,77.29,76.08,50.83,41.12,51.96,48.83,67.12,53.88,66.71,60.46,77.88,67.38,83.46,65.04,60.29,65.96,67.62,60.5,64.29
2012-10-07,54.38,59.08,61.54,55.42,67.62,66.67,77.83,78.92,60.17,33.83,72.54,55.92,74.54,42.92,38.96,43.29,43.04,55.54,42.5,67.29,46.29,77.88,68.42,82.42,55.5,50.46,64.42,66.08,55.5,64.54
2012-10-08,55.04,59.67,59.67,57.29,69.42,69.0,74.0,79.54,47.88,36.58,56.62,49.54,61.29,43.67,37.75,45.33,44.79,51.04,43.75,58.79,45.92,77.67,58.54,79.54,45.92,44.25,49.12,50.96,46.67,51.12
2012-10-09,55.0,53.62,59.25,56.38,66.67,68.29,72.38,78.62,52.62,47.46,56.33,51.92,59.08,48.83,46.54,45.71,44.33,51.46,41.62,54.42,45.29,77.54,51.38,79.46,40.67,44.12,46.21,48.75,44.71,49.75
2012-10-10,53.17,52.21,59.62,55.08,64.75,67.33,77.04,78.88,59.58,48.42,66.46,61.88,65.96,55.58,48.33,52.75,54.04,49.79,46.62,56.58,49.21,68.17,50.12,81.79,44.25,48.83,51.08,53.04,47.42,52.33
2012-10-11,51.21,56.33,62.21,57.88,66.83,67.21,77.08,79.88,57.21,52.46,78.04,68.79,77.46,51.46,41.96,51.67,47.75,59.38,49.88,60.29,49.96,69.12,59.25,81.42,50.42,51.79,58.58,58.83,52.83,56.04
2012-10-12,50.67,50.96,57.0,50.88,62.79,62.88,64.62,78.54,58.92,53.25,77.46,71.88,77.96,55.0,46.83,49.42,48.58,51.42,43.96,59.42,46.0,70.12,56.79,79.83,44.96,43.96,51.92,53.71,45.25,52.29
2012-10-13,51.21,53.04,57.92,53.58,61.33,63.0,60.08,72.0,62.92,49.92,78.08,77.75,80.46,56.79,38.96,57.33,50.0,58.5,50.79,66.83,48.21,73.04,59.96,79.96,48.62,46.12,49.67,50.04,43.42,47.46
2012-10-14,53.42,55.71,57.83,55.12,63.5,63.0,60.67,66.38,51.12,49.21,77.92,76.08,78.0,62.5,49.38,61.71,50.46,62.67,52.79,66.17,43.83,74.21,57.62,77.79,45.46,39.79,43.5,43.71,38.46,40.46
2012-10-15,56.0,58.58,61.62,58.62,68.71,67.62,65.92,72.29,52.62,51.46,77.5,72.75,77.79,64.58,49.21,67.58,64.33,69.0,68.33,65.29,63.08,76.38,57.38,80.54,65.12,54.67,55.62,57.46,42.75,50.83
2012-10-16,53.33,60.08,62.88,56.71,73.38,72.46,69.42,79.62,56.0,56.83,71.0,67.58,73.67,59.08,48.58,57.54,50.46,63.75,53.04,68.88,54.38,76.08,66.33,81.0,60.54,54.96,63.25,64.62,53.46,65.08
2012-10-17,53.5,58.58,67.12,55.92,71.21,69.0,70.62,76.62,59.25,61.5,67.62,66.67,67.42,67.62,58.62,60.71,51.83,56.71,49.67,58.62,49.08,71.58,57.83,79.96,49.0,45.79,54.75,56.0,47.38,56.62
2012-10-18,48.42,49.12,66.21,49.08,74.17,73.83,73.46,76.38,62.08,54.58,72.25,73.5,71.58,63.96,54.21,64.75,63.83,63.12,60.5,59.96,58.58,68.5,56.46,79.88,51.5,47.42,48.58,49.21,42.96,44.83
2012-10-19,49.75,50.42,68.83,51.71,74.79,74.33,68.79,76.33,58.38,45.96,73.46,67.46,75.08,52.96,46.46,54.75,52.0,62.54,56.58,63.46,58.88,73.38,59.96,79.5,56.38,53.38,54.04,52.79,54.0,49.62
2012-10-20,51.75,55.79,66.92,55.21,69.25,67.79,68.5,76.04,58.62,52.12,66.33,62.04,68.79,49.5,47.5,51.46,46.67,55.5,49.25,59.92,52.62,73.92,62.71,79.79,52.83,50.62,65.25,64.12,53.5,56.75
2012-10-21,46.83,49.79,60.38,46.08,66.92,66.62,69.46,75.04,58.92,61.75,69.75,64.17,65.58,51.83,42.62,52.88,46.17,54.21,48.21,53.58,48.17,66.46,52.96,77.67,49.42,49.33,58.21,61.12,54.08,64.92
2012-10-22,42.96,45.0,56.5,44.21,66.62,64.33,72.79,77.04,60.88,59.46,78.62,79.17,77.79,62.25,52.21,59.71,51.42,56.92,51.0,57.58,50.5,65.5,55.67,78.75,49.96,51.88,53.08,55.83,50.42,54.88
2012-10-23,42.71,45.88,55.96,41.21,65.17,64.33,70.46,73.29,58.79,51.62,78.21,77.38,77.58,74.46,54.04,68.17,58.71,67.08,62.04,60.12,53.83,70.54,56.71,77.83,52.12,51.88,53.83,56.83,50.5,55.08
2012-10-24,43.08,44.54,55.04,43.96,63.54,62.0,66.54,71.67,59.54,58.67,75.79,75.54,75.75,74.08,57.04,69.58,62.42,65.5,64.29,61.96,62.58,71.71,60.67,79.58,65.83,51.38,55.29,55.58,46.25,53.0
2012-10-25,43.88,45.88,55.67,45.42,62.5,61.12,63.38,71.25,61.67,49.21,75.0,75.29,75.75,74.96,56.0,71.96,67.79,64.25,66.29,62.42,65.62,73.38,61.96,79.42,65.71,50.04,60.67,57.29,42.04,50.88
2012-10-26,43.75,45.71,57.08,45.46,65.75,61.54,59.75,67.79,51.75,37.62,75.38,73.0,78.88,61.42,41.38,70.75,70.38,65.08,66.96,64.29,65.71,75.88,62.71,76.67,66.25,56.12,59.58,58.21,45.54,49.54
2012-10-27,44.96,46.5,57.38,45.79,70.08,67.12,58.83,71.12,41.21,30.5,62.0,52.75,65.62,40.79,36.46,45.46,44.38,57.79,51.12,67.58,56.0,75.38,65.17,74.62,66.04,55.33,61.33,60.67,53.29,52.71
2012-10-28,45.0,50.25,61.71,49.29,72.62,70.0,58.17,70.54,39.92,33.88,53.54,47.62,55.71,37.12,35.21,42.54,41.79,46.71,43.5,61.12,47.75,70.42,64.42,75.5,51.58,46.58,61.08,62.08,54.5,53.21
2012-10-29,48.58,57.83,63.29,53.96,70.0,67.5,62.25,71.25,48.21,41.12,56.83,49.0,55.29,40.83,34.71,42.25,44.0,50.54,42.21,51.54,44.46,68.17,61.62,73.75,44.5,43.21,55.62,57.79,52.0,53.29
2012-10-30,49.58,59.58,59.42,55.12,66.54,65.58,62.67,71.33,53.21,51.33,53.67,51.71,55.04,45.46,37.67,42.71,43.38,45.29,42.04,48.04,42.67,57.79,48.88,67.42,42.0,40.33,53.83,56.46,52.92,55.0
2012-10-31,52.5,57.67,57.71,54.92,63.5,62.0,63.21,71.21,55.46,52.79,57.29,57.17,58.42,45.0,37.5,44.88,42.71,47.29,41.5,46.75,41.12,53.88,46.33,63.92,41.83,47.08,47.83,55.5,60.12,61.54
2012-11-01,51.46,56.88,58.92,55.96,62.0,61.62,63.54,70.04,54.75,55.0,66.0,66.21,67.17,48.21,35.08,44.71,41.33,46.12,40.62,48.42,40.38,57.75,47.58,64.5,38.29,46.08,44.29,48.67,55.71,53.88
2012-11-02,52.08,54.5,60.21,53.58,60.58,62.58,64.21,69.96,50.58,53.33,69.25,66.29,71.58,53.62,41.75,46.29,43.29,43.54,42.33,48.33,43.12,62.96,47.88,68.54,39.54,44.5,45.54,46.92,45.62,49.5
2012-11-03,52.58,53.62,55.79,53.83,60.5,62.04,64.67,70.46,53.88,51.79,70.5,72.71,73.75,52.96,31.62,47.5,42.33,54.38,44.38,54.21,41.5,58.83,50.29,71.79,38.42,38.83,46.62,48.96,40.79,48.38
2012-11-04,52.25,54.88,57.12,53.58,61.71,60.25,62.0,69.62,52.25,44.96,71.04,73.0,71.46,48.08,37.38,46.83,42.21,54.58,39.25,59.33,39.83,65.96,50.33,69.67,38.21,36.83,44.62,45.5,40.54,46.29
