datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-01,53.0,48.0,61.0,48.0,66.0,65.0,68.0,75.0,55.0,53.0,62.0,63.0,60.0,63.0,58.0,56.0,54.0,58.0,52.0,70.0,53.0,79.0,60.0,80.0,47.0,56.0,56.0,60.0,55.0,58.0,94.0,90.0,99.0,88.0,88.0,87.0
2012-10-02,64.0,81.0,89.0,73.0,94.0,88.0,96.0,102.0,77.0,65.0,75.0,82.0,81.0,77.0,70.0,65.0,65.0,69.0,63.0,74.0,65.0,89.0,62.0,82.0,64.0,62.0,70.0,71.0,60.0,66.0,90.0,87.0,98.0,88.0,88.0,87.0
2012-10-03,65.0,81.0,88.0,72.0,91.0,91.0,98.0,101.0,78.0,79.0,79.0,79.0,80.0,74.0,72.0,70.0,68.0,66.0,61.0,72.0,69.0,88.0,80.0,85.0,73.0,66.0,66.0,68.0,66.0,69.0,100.0,91.0,100.0,86.0,86.0,85.0
2012-10-04,63.0,68.0,85.0,62.0,84.0,84.0,98.0,101.0,83.0,79.0,84.0,83.0,83.0,73.0,77.0,75.0,65.0,75.0,69.0,71.0,67.0,82.0,78.0,88.0,73.0,61.0,78.0,72.0,67.0,64.0,99.0,88.0,96.0,81.0,81.0,83.0
2012-10-05,64.0,71.0,71.0,63.0,77.0,77.0,96.0,98.0,81.0,66.0,89.0,85.0,87.0,69.0,69.0,80.0,78.0,81.0,76.0,79.0,75.0,87.0,79.0,88.0,73.0,68.0,75.0,74.0,65.0,63.0,99.0,101.0,91.0,81.0,81.0,82.0
2012-10-06,66.0,70.0,71.0,67.0,75.0,74.0,91.0,94.0,78.0,45.0,87.0,83.0,87.0,52.0,45.0,72.0,56.0,80.0,68.0,81.0,69.0,84.0,80.0,87.0,74.0,64.0,77.0,80.0,69.0,74.0,102.0,86.0,92.0,80.0,80.0,82.0
2012-10-07,68.0,72.0,70.0,71.0,77.0,77.0,88.0,91.0,74.0,41.0,81.0,71.0,86.0,46.0,43.0,50.0,49.0,71.0,51.0,80.0,50.0,83.0,82.0,87.0,68.0,57.0,73.0,76.0,65.0,77.0,99.0,85.0,95.0,79.0,79.0,81.0
2012-10-08,66.0,76.0,70.0,71.0,77.0,76.0,84.0,92.0,73.0,51.0,69.0,53.0,75.0,55.0,52.0,54.0,49.0,59.0,48.0,67.0,50.0,86.0,71.0,83.0,50.0,48.0,56.0,57.0,51.0,59.0,98.0,84.0,93.0,80.0,80.0,81.0
2012-10-09,65.0,75.0,68.0,70.0,75.0,74.0,89.0,92.0,71.0,68.0,69.0,66.0,69.0,63.0,63.0,61.0,58.0,61.0,55.0,58.0,55.0,84.0,54.0,86.0,48.0,53.0,51.0,55.0,55.0,56.0,99.0,84.0,88.0,78.0,78.0,80.0
2012-10-10,66.0,70.0,70.0,72.0,75.0,74.0,88.0,91.0,73.0,64.0,80.0,80.0,82.0,64.0,60.0,67.0,65.0,65.0,62.0,67.0,63.0,75.0,64.0,88.0,58.0,56.0,59.0,60.0,60.0,57.0,98.0,82.0,93.0,80.0,80.0,80.0
