datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2012-10-01,53.0,48.0,61.0,47.0,66.0,65.0,68.0,74.0,54.0,53.0,61.0,62.0,59.0,62.0,57.0,55.0,52.0,58.0,51.0,70.0,52.0,77.0,60.0,80.0,46.0,56.0,54.0,59.0,55.0,57.0,90.0,87.0,98.0,88.0,88.0,87.0
2012-10-02,53.0,48.0,61.0,47.0,65.0,65.0,68.0,75.0,55.0,52.0,62.0,63.0,60.0,63.0,58.0,56.0,54.0,58.0,52.0,70.0,54.0,79.0,60.0,79.0,47.0,56.0,56.0,61.0,55.0,58.0,78.0,80.0,73.0,85.0,85.0,81.0
2012-10-03,49.0,50.0,63.0,50.0,67.0,65.0,66.0,68.0,52.0,48.0,61.0,64.0,63.0,57.0,41.0,49.0,56.0,59.0,53.0,65.0,55.0,76.0,62.0,75.0,58.0,51.0,60.0,60.0,51.0,55.0,75.0,78.0,68.0,81.0,81.0,81.0
2012-10-04,44.0,46.0,62.0,43.0,65.0,64.0,68.0,69.0,55.0,53.0,56.0,59.0,60.0,51.0,45.0,58.0,61.0,52.0,56.0,58.0,60.0,75.0,66.0,75.0,64.0,57.0,64.0,63.0,49.0,61.0,70.0,74.0,68.0,76.0,76.0,71.0
2012-10-05,42.0,49.0,59.0,44.0,60.0,64.0,70.0,71.0,54.0,36.0,70.0,65.0,66.0,52.0,44.0,57.0,58.0,56.0,53.0,56.0,58.0,72.0,65.0,80.0,58.0,57.0,65.0,65.0,53.0,60.0,68.0,72.0,61.0,76.0,76.0,71.0
2012-10-06,44.0,49.0,58.0,45.0,61.0,63.0,67.0,66.0,57.0,31.0,68.0,71.0,67.0,48.0,35.0,45.0,43.0,57.0,41.0,56.0,51.0,74.0,57.0,80.0,57.0,58.0,56.0,58.0,55.0,58.0,69.0,72.0,61.0,75.0,75.0,71.0
2012-10-07,45.0,45.0,53.0,44.0,60.0,59.0,69.0,67.0,44.0,32.0,66.0,52.0,65.0,39.0,35.0,37.0,35.0,45.0,35.0,58.0,41.0,73.0,58.0,79.0,46.0,47.0,58.0,59.0,48.0,56.0,69.0,72.0,69.0,75.0,75.0,71.0
2012-10-08,46.0,43.0,53.0,45.0,63.0,64.0,64.0,68.0,32.0,28.0,51.0,48.0,53.0,31.0,26.0,37.0,39.0,46.0,39.0,53.0,42.0,71.0,53.0,76.0,43.0,39.0,44.0,44.0,41.0,43.0,66.0,70.0,70.0,75.0,75.0,70.0
2012-10-09,46.0,38.0,51.0,44.0,60.0,65.0,61.0,66.0,39.0,35.0,51.0,41.0,53.0,39.0,38.0,34.0,34.0,46.0,32.0,51.0,36.0,73.0,48.0,75.0,34.0,36.0,40.0,41.0,35.0,42.0,68.0,71.0,69.0,75.0,75.0,70.0
2012-10-10,47.0,42.0,52.0,49.0,56.0,62.0,65.0,68.0,47.0,37.0,61.0,53.0,59.0,48.0,44.0,42.0,46.0,38.0,34.0,52.0,40.0,65.0,46.0,78.0,33.0,43.0,48.0,49.0,38.0,49.0,67.0,70.0,61.0,75.0,75.0,70.0
2012-10-11,44.0,42.0,53.0,45.0,57.0,61.0,68.0,68.0,38.0,35.0,71.0,62.0,68.0,36.0,31.0,41.0,37.0,51.0,44.0,49.0,44.0,59.0,47.0,77.0,44.0,46.0,55.0,54.0,49.0,51.0,69.0,70.0,68.0,75.0,75.0,70.0
2012-10-12,48.0,43.0,54.0,48.0,58.0,57.0,61.0,70.0,44.0,47.0,73.0,65.0,71.0,45.0,40.0,39.0,37.0,38.0,32.0,47.0,35.0,63.0,46.0,74.0,34.0,38.0,44.0,46.0,40.0,44.0,69.0,69.0,70.0,75.0,75.0,71.0
2012-10-13,49.0,44.0,54.0,47.0,54.0,58.0,53.0,61.0,54.0,37.0,72.0,71.0,72.0,50.0,24.0,49.0,39.0,55.0,45.0,58.0,38.0,63.0,46.0,75.0,42.0,37.0,39.0,41.0,38.0,42.0,70.0,69.0,70.0,75.0,75.0,72.0
2012-10-14,52.0,52.0,50.0,53.0,54.0,55.0,53.0,54.0,38.0,43.0,73.0,71.0,70.0,56.0,47.0,53.0,42.0,53.0,42.0,59.0,35.0,67.0,46.0,73.0,32.0,32.0,31.0,31.0,29.0,29.0,68.0,66.0,75.0,77.0,77.0,72.0
2012-10-15,55.0,55.0,57.0,57.0,59.0,58.0,57.0,58.0,41.0,43.0,70.0,61.0,74.0,59.0,44.0,63.0,53.0,64.0,66.0,59.0,56.0,70.0,48.0,79.0,59.0,46.0,43.0,49.0,40.0,40.0,68.0,70.0,72.0,77.0,77.0,73.0
2012-10-16,51.0,58.0,55.0,53.0,63.0,62.0,57.0,66.0,44.0,45.0,63.0,55.0,66.0,47.0,35.0,47.0,46.0,54.0,46.0,65.0,49.0,68.0,63.0,77.0,50.0,46.0,60.0,60.0,46.0,59.0,70.0,66.0,73.0,77.0,77.0,73.0
2012-10-17,49.0,52.0,61.0,49.0,62.0,60.0,60.0,63.0,50.0,47.0,64.0,60.0,60.0,59.0,53.0,51.0,42.0,43.0,36.0,47.0,41.0,63.0,45.0,74.0,45.0,41.0,49.0,51.0,42.0,49.0,70.0,72.0,72.0,79.0,79.0,75.0
2012-10-18,45.0,42.0,55.0,42.0,63.0,62.0,64.0,62.0,54.0,46.0,66.0,66.0,63.0,56.0,49.0,61.0,58.0,52.0,53.0,50.0,50.0,62.0,44.0,76.0,39.0,40.0,38.0,38.0,34.0,33.0,71.0,71.0,72.0,79.0,79.0,76.0
2012-10-19,49.0,41.0,58.0,45.0,70.0,69.0,56.0,65.0,49.0,32.0,66.0,55.0,70.0,49.0,43.0,48.0,45.0,55.0,49.0,57.0,53.0,67.0,49.0,74.0,49.0,50.0,43.0,41.0,46.0,38.0,69.0,71.0,73.0,79.0,79.0,75.0
