datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2015-01-01,-459.04,-457.83,-454.87,-457.48,-458.26,-458.26,-456.87,-457.39,-458.26,-457.22,-452.09,-455.3,-453.39,-452.0,-451.22,-452.87,-443.57,-458.17,-451.7,-457.91,-445.78,-454.0,-456.61,-455.91,-452.13,-443.43,-454.61,-453.61,-447.87,-449.26,-457.48,-452.3,-458.0,-451.17,-455.17,-458.26
2015-01-02,-456.92,-458.17,-456.5,-457.42,-458.83,-457.83,-458.0,-457.17,-457.17,-457.67,-452.42,-453.75,-455.08,-455.92,-455.17,-455.58,-453.46,-458.0,-456.0,-457.75,-452.92,-455.17,-456.33,-452.71,-454.58,-449.04,-454.5,-453.83,-447.83,-448.08,-458.0,-451.83,-457.33,-450.79,-455.25,-459.17
2015-01-03,-457.75,-459.0,-458.25,-458.17,-458.5,-458.0,-459.0,-457.33,-456.75,-457.33,-455.83,-454.08,-456.0,-457.67,-453.08,-455.08,-453.67,-453.29,-454.29,-454.58,-454.17,-456.42,-456.5,-449.79,-455.83,-453.29,-457.08,-456.58,-453.96,-453.21,-455.83,-449.12,-457.58,-448.83,-456.5,-458.33
2015-01-04,-451.96,-457.92,-457.75,-456.5,-458.08,-458.17,-458.42,-458.0,-456.33,-457.58,-451.33,-448.62,-453.83,-448.67,-446.75,-449.08,-450.21,-452.25,-451.71,-451.75,-454.75,-453.25,-450.67,-451.08,-452.08,-454.88,-453.96,-455.38,-455.62,-451.75,-454.67,-454.54,-458.25,-452.42,-457.83,-457.75
2015-01-05,-454.38,-453.92,-455.0,-450.54,-458.83,-457.67,-458.42,-457.92,-458.17,-453.83,-453.12,-453.62,-453.79,-455.67,-453.29,-453.08,-446.29,-454.67,-452.58,-451.88,-447.08,-453.08,-450.42,-454.29,-452.25,-446.0,-451.12,-454.29,-447.12,-445.33,-452.96,-452.42,-456.33,-440.58,-450.5,-455.75
2015-01-06,-456.67,-458.0,-454.75,-457.33,-459.17,-458.0,-458.0,-458.0,-457.25,-455.12,-456.83,-454.38,-457.75,-452.25,-453.46,-451.29,-450.71,-456.0,-456.5,-455.67,-452.46,-455.67,-454.46,-452.88,-456.42,-450.5,-456.42,-456.33,-457.33,-450.71,-448.0,-455.25,-452.12,-432.21,-447.71,-451.0
2015-01-07,-456.83,-458.42,-455.17,-457.75,-458.92,-458.33,-458.0,-457.17,-457.5,-457.25,-451.79,-447.71,-455.25,-449.88,-447.75,-446.92,-442.08,-453.58,-450.54,-451.75,-447.42,-454.38,-449.75,-456.67,-452.12,-446.92,-454.0,-454.21,-455.17,-451.38,-443.21,-451.71,-449.75,-434.79,-445.79,-449.38
2015-01-08,-454.58,-458.0,-457.5,-456.42,-457.92,-458.42,-458.17,-454.58,-458.08,-455.33,-450.62,-451.21,-453.79,-450.42,-450.12,-451.54,-446.04,-455.21,-453.71,-453.54,-448.83,-449.58,-452.33,-448.08,-453.67,-445.67,-453.92,-455.12,-457.25,-446.75,-451.88,-452.42,-454.96,-444.88,-451.5,-456.42
2015-01-09,-455.75,-457.58,-457.92,-457.0,-459.5,-458.08,-458.58,-457.75,-458.33,-457.42,-453.42,-452.46,-455.58,-450.88,-446.08,-448.46,-444.71,-454.08,-449.21,-455.17,-446.58,-454.0,-452.08,-456.83,-451.71,-444.17,-452.88,-453.08,-454.67,-446.08,-455.25,-444.83,-453.88,-442.21,-451.04,-457.92
2015-01-10,-459.0,-458.0,-458.42,-458.67,-458.42,-458.67,-458.5,-457.33,-458.0,-457.33,-451.96,-453.58,-453.25,-452.46,-453.58,-453.42,-450.17,-457.58,-455.58,-454.33,-450.08,-453.21,-453.54,-451.67,-455.0,-446.08,-454.42,-454.75,-453.92,-450.17,-454.46,-452.5,-456.83,-447.71,-456.29,-456.17
