datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2014-01-01,-458.0,-458.0,-458.0,-458.0,-458.0,-458.0,-458.0,-458.0,-451.0,-442.0,-454.0,-447.0,-456.0,-451.0,-454.0,-456.0,-452.0,-456.0,-452.0,-458.0,-452.0,-456.0,-458.0,-451.0,-454.0,-451.0,-454.0,-452.0,-449.0,-449.0,-458.0,-454.0,-449.0,-454.0,-454.0,-458.0
2014-01-02,-451.0,-458.0,-458.0,-452.0,-458.0,-458.0,-458.0,-456.0,-454.0,-456.0,-449.0,-451.0,-447.0,-449.0,-454.0,-445.0,-451.0,-456.0,-452.0,-440.0,-447.0,-451.0,-456.0,-452.0,-454.0,-452.0,-452.0,-447.0,-449.0,-451.0,-458.0,-451.0,-445.0,-452.0,-452.0,-458.0
2014-01-03,-445.0,-456.0,-458.0,-456.0,-454.0,-458.0,-456.0,-456.0,-456.0,-454.0,-456.0,-451.0,-454.0,-449.0,-447.0,-451.0,-451.0,-454.0,-452.0,-451.0,-449.0,-447.0,-451.0,-452.0,-454.0,-452.0,-443.0,-447.0,-449.0,-445.0,-458.0,-454.0,-445.0,-449.0,-449.0,-458.0
2014-01-04,-458.0,-454.0,-451.0,-456.0,-458.0,-458.0,-458.0,-458.0,-456.0,-447.0,-454.0,-447.0,-452.0,-443.0,-449.0,-451.0,-445.0,-452.0,-449.0,-456.0,-447.0,-449.0,-456.0,-454.0,-454.0,-438.0,-454.0,-451.0,-449.0,-454.0,-458.0,-454.0,-445.0,-449.0,-449.0,-458.0
2014-01-05,-458.0,-449.0,-456.0,-458.0,-458.0,-458.0,-456.0,-458.0,-445.0,-456.0,-447.0,-443.0,-454.0,-440.0,-447.0,-442.0,-449.0,-456.0,-452.0,-456.0,-452.0,-456.0,-456.0,-456.0,-454.0,-447.0,-454.0,-454.0,-449.0,-452.0,-458.0,-454.0,-445.0,-445.0,-447.0,-458.0
2014-01-06,-458.0,-449.0,-456.0,-454.0,-458.0,-456.0,-458.0,-458.0,-452.0,-456.0,-451.0,-452.0,-449.0,-442.0,-447.0,-440.0,-454.0,-451.0,-449.0,-451.0,-449.0,-452.0,-451.0,-456.0,-454.0,-452.0,-445.0,-452.0,-442.0,-454.0,-458.0,-451.0,-445.0,-454.0,-454.0,-458.0
2014-01-07,-452.0,-458.0,-458.0,-456.0,-458.0,-458.0,-458.0,-456.0,-456.0,-445.0,-456.0,-449.0,-454.0,-449.0,-451.0,-451.0,-454.0,-456.0,-452.0,-454.0,-452.0,-456.0,-454.0,-449.0,-443.0,-433.0,-443.0,-429.0,-429.0,-438.0,-458.0,-452.0,-447.0,-451.0,-451.0,-458.0
2014-01-08,-454.0,-452.0,-456.0,-452.0,-458.0,-456.0,-458.0,-458.0,-456.0,-456.0,-456.0,-451.0,-449.0,-449.0,-454.0,-456.0,-454.0,-452.0,-452.0,-458.0,-452.0,-454.0,-456.0,-447.0,-454.0,-447.0,-452.0,-443.0,-443.0,-449.0,-458.0,-451.0,-449.0,-445.0,-447.0,-458.0
2014-01-09,-447.0,-449.0,-451.0,-456.0,-458.0,-458.0,-458.0,-458.0,-456.0,-456.0,-452.0,-452.0,-452.0,-451.0,-449.0,-451.0,-454.0,-456.0,-452.0,-456.0,-452.0,-456.0,-458.0,-454.0,-454.0,-452.0,-454.0,-454.0,-447.0,-452.0,-458.0,-454.0,-451.0,-443.0,-443.0,-458.0
2014-01-10,-452.0,-451.0,-454.0,-451.0,-458.0,-452.0,-456.0,-456.0,-447.0,-438.0,-451.0,-449.0,-458.0,-447.0,-451.0,-447.0,-449.0,-449.0,-449.0,-452.0,-452.0,-451.0,-454.0,-454.0,-454.0,-452.0,-454.0,-454.0,-449.0,-456.0,-458.0,-452.0,-452.0,-447.0,-452.0,-458.0
2014-01-11,-443.0,-442.0,-451.0,-440.0,-456.0,-452.0,-452.0,-456.0,-456.0,-451.0,-454.0,-452.0,-451.0,-451.0,-449.0,-451.0,-451.0,-449.0,-451.0,-452.0,-443.0,-445.0,-452.0,-452.0,-442.0,-451.0,-454.0,-452.0,-443.0,-440.0,-458.0,-452.0,-452.0,-452.0,-454.0,-458.0
2014-01-12,-451.0,-454.0,-449.0,-452.0,-458.0,-456.0,-451.0,-456.0,-451.0,-445.0,-454.0,-452.0,-452.0,-445.0,-452.0,-449.0,-451.0,-456.0,-452.0,-456.0,-449.0,-451.0,-454.0,-454.0,-449.0,-442.0,-449.0,-447.0,-438.0,-440.0,-458.0,-451.0,-449.0,-451.0,-451.0,-458.0
2014-01-13,-454.0,-452.0,-452.0,-452.0,-456.0,-458.0,-452.0,-454.0,-445.0,-447.0,-452.0,-447.0,-449.0,-449.0,-451.0,-451.0,-451.0,-456.0,-452.0,-458.0,-449.0,-454.0,-454.0,-451.0,-454.0,-452.0,-454.0,-452.0,-449.0,-454.0,-458.0,-454.0,-449.0,-454.0,-454.0,-458.0
2014-01-14,-443.0,-458.0,-456.0,-454.0,-458.0,-445.0,-449.0,-456.0,-447.0,-443.0,-449.0,-447.0,-452.0,-447.0,-443.0,-445.0,-443.0,-454.0,-442.0,-449.0,-447.0,-449.0,-452.0,-452.0,-451.0,-451.0,-452.0,-451.0,-449.0,-451.0,-458.0,-452.0,-447.0,-449.0,-449.0,-454.0
2014-01-15,-452.0,-454.0,-456.0,-458.0,-456.0,-452.0,-452.0,-458.0,-454.0,-447.0,-449.0,-451.0,-449.0,-442.0,-451.0,-447.0,-443.0,-449.0,-440.0,-456.0,-445.0,-456.0,-454.0,-456.0,-451.0,-443.0,-454.0,-454.0,-447.0,-454.0,-458.0,-454.0,-445.0,-449.0,-454.0,-458.0
2014-01-16,-452.0,-454.0,-456.0,-456.0,-456.0,-458.0,-452.0,-458.0,-449.0,-449.0,-449.0,-456.0,-452.0,-436.0,-443.0,-449.0,-451.0,-449.0,-452.0,-456.0,-445.0,-452.0,-454.0,-451.0,-452.0,-447.0,-452.0,-452.0,-449.0,-456.0,-458.0,-451.0,-447.0,-443.0,-445.0,-456.0
2014-01-17,-452.0,-454.0,-456.0,-456.0,-454.0,-454.0,-454.0,-458.0,-454.0,-449.0,-452.0,-451.0,-449.0,-449.0,-449.0,-447.0,-449.0,-449.0,-443.0,-449.0,-451.0,-447.0,-451.0,-454.0,-451.0,-445.0,-452.0,-454.0,-449.0,-451.0,-458.0,-454.0,-458.0,-456.0,-454.0,-454.0
2014-01-18,-460.0,-454.0,-458.0,-456.0,-454.0,-454.0,-458.0,-458.0,-454.0,-449.0,-458.0,-456.0,-454.0,-456.0,-456.0,-456.0,-454.0,-454.0,-451.0,-454.0,-451.0,-454.0,-456.0,-456.0,-451.0,-452.0,-454.0,-454.0,-449.0,-456.0,-458.0,-454.0,-458.0,-456.0,-454.0,-458.0
2014-01-19,-451.0,-458.0,-443.0,-458.0,-458.0,-458.0,-458.0,-458.0,-456.0,-452.0,-456.0,-454.0,-454.0,-445.0,-454.0,-451.0,-449.0,-454.0,-452.0,-458.0,-447.0,-443.0,-456.0,-456.0,-443.0,-434.0,-452.0,-443.0,-443.0,-449.0,-458.0,-452.0,-445.0,-456.0,-454.0,-458.0
2014-01-20,-454.0,-456.0,-458.0,-458.0,-458.0,-458.0,-454.0,-458.0,-456.0,-449.0,-451.0,-452.0,-454.0,-452.0,-451.0,-454.0,-451.0,-456.0,-452.0,-458.0,-449.0,-452.0,-454.0,-456.0,-452.0,-440.0,-447.0,-451.0,-440.0,-445.0,-458.0,-454.0,-449.0,-454.0,-454.0,-458.0
2014-01-21,-456.0,-447.0,-456.0,-458.0,-458.0,-458.0,-454.0,-454.0,-451.0,-451.0,-449.0,-445.0,-447.0,-447.0,-451.0,-438.0,-451.0,-456.0,-452.0,-456.0,-452.0,-442.0,-452.0,-454.0,-454.0,-452.0,-445.0,-445.0,-447.0,-449.0,-458.0,-454.0,-443.0,-452.0,-452.0,-458.0
2014-01-22,-456.0,-456.0,-458.0,-456.0,-458.0,-458.0,-454.0,-458.0,-454.0,-456.0,-451.0,-452.0,-452.0,-447.0,-440.0,-445.0,-452.0,-452.0,-452.0,-458.0,-451.0,-454.0,-454.0,-456.0,-451.0,-449.0,-447.0,-447.0,-449.0,-451.0,-458.0,-454.0,-445.0,-456.0,-454.0,-458.0
2014-01-23,-451.0,-454.0,-452.0,-452.0,-458.0,-458.0,-452.0,-456.0,-436.0,-454.0,-447.0,-445.0,-452.0,-447.0,-447.0,-449.0,-452.0,-449.0,-451.0,-458.0,-452.0,-454.0,-454.0,-458.0,-454.0,-452.0,-451.0,-445.0,-449.0,-449.0,-458.0,-452.0,-443.0,-454.0,-454.0,-456.0
2014-01-24,-452.0,-447.0,-452.0,-456.0,-458.0,-456.0,-456.0,-456.0,-456.0,-445.0,-449.0,-452.0,-451.0,-447.0,-449.0,-447.0,-445.0,-452.0,-442.0,-456.0,-442.0,-452.0,-454.0,-452.0,-449.0,-425.0,-449.0,-445.0,-443.0,-451.0,-458.0,-452.0,-447.0,-456.0,-454.0,-458.0
2014-01-25,-454.0,-456.0,-458.0,-458.0,-456.0,-458.0,-456.0,-458.0,-456.0,-454.0,-458.0,-454.0,-454.0,-447.0,-445.0,-442.0,-451.0,-452.0,-447.0,-452.0,-447.0,-449.0,-447.0,-458.0,-454.0,-427.0,-449.0,-451.0,-443.0,-433.0,-458.0,-452.0,-447.0,-452.0,-452.0,-458.0
2014-01-26,-454.0,-449.0,-449.0,-452.0,-456.0,-454.0,-458.0,-454.0,-454.0,-433.0,-449.0,-449.0,-449.0,-449.0,-436.0,-447.0,-442.0,-442.0,-443.0,-449.0,-451.0,-451.0,-449.0,-452.0,-451.0,-443.0,-451.0,-442.0,-438.0,-440.0,-458.0,-447.0,-449.0,-445.0,-447.0,-443.0
2014-01-27,-454.0,-447.0,-445.0,-456.0,-458.0,-451.0,-452.0,-420.0,-447.0,-443.0,-445.0,-440.0,-443.0,-438.0,-442.0,-434.0,-438.0,-442.0,-429.0,-451.0,-443.0,-451.0,-451.0,-451.0,-438.0,-433.0,-440.0,-438.0,-429.0,-443.0,-454.0,-452.0,-451.0,-445.0,-445.0,-452.0
2014-01-28,-454.0,-449.0,-447.0,-454.0,-456.0,-452.0,-454.0,-451.0,-451.0,-452.0,-445.0,-447.0,-443.0,-451.0,-449.0,-449.0,-447.0,-447.0,-449.0,-449.0,-449.0,-447.0,-449.0,-451.0,-449.0,-438.0,-447.0,-447.0,-442.0,-442.0,-452.0,-438.0,-454.0,-443.0,-443.0,-447.0
2014-01-29,-445.0,-443.0,-451.0,-452.0,-456.0,-454.0,-452.0,-454.0,-452.0,-433.0,-452.0,-447.0,-449.0,-445.0,-447.0,-451.0,-445.0,-454.0,-443.0,-451.0,-443.0,-442.0,-452.0,-452.0,-445.0,-434.0,-447.0,-447.0,-436.0,-443.0,-456.0,-452.0,-458.0,-451.0,-451.0,-454.0
2014-01-30,-442.0,-447.0,-445.0,-449.0,-456.0,-452.0,-442.0,-456.0,-449.0,-438.0,-447.0,-440.0,-447.0,-438.0,-445.0,-445.0,-443.0,-447.0,-442.0,-452.0,-445.0,-443.0,-454.0,-452.0,-452.0,-438.0,-451.0,-451.0,-442.0,-452.0,-456.0,-452.0,-456.0,-451.0,-451.0,-452.0
2014-01-31,-458.0,-456.0,-456.0,-452.0,-456.0,-456.0,-452.0,-456.0,-452.0,-458.0,-452.0,-454.0,-451.0,-451.0,-454.0,-456.0,-456.0,-460.0,-454.0,-460.0,-452.0,-454.0,-460.0,-456.0,-458.0,-452.0,-456.0,-445.0,-449.0,-452.0,-456.0,-452.0,-454.0,-447.0,-447.0,-456.0
