DESTINATION_AIRPORT,MONTH,DAY,ARRIVAL_DELAY
ABQ,1,1,51
ABQ,1,2,63
ABQ,1,3,58
ABQ,1,4,61
ABQ,1,5,57
ABQ,1,6,50
ABQ,1,7,52
ABQ,1,8,52
ABQ,1,9,53
ABQ,1,10,38
ABQ,1,11,48
ABQ,1,12,54
ABQ,1,13,48
ABQ,1,14,51
ABQ,1,15,53
ABQ,1,16,54
ABQ,1,17,36
ABQ,1,18,48
ABQ,1,19,54
ABQ,1,20,48
ABQ,1,21,51
ABQ,1,22,50
ABQ,1,23,53
ABQ,1,24,36
ABQ,1,25,47
ABQ,1,26,52
ABQ,1,27,48
ABQ,1,28,51
ABQ,1,29,53
ABQ,1,30,52
ABQ,1,31,35
ABQ,2,1,40
ABQ,2,2,51
ABQ,2,3,47
ABQ,2,4,51
ABQ,2,5,52
ABQ,2,6,53
ABQ,2,7,36
ABQ,2,8,47
ABQ,2,9,53
ABQ,2,10,47
ABQ,2,11,50
ABQ,2,12,53
ABQ,2,13,54
ABQ,2,14,41
ABQ,2,15,50
ABQ,2,16,54
ABQ,2,17,54
ABQ,2,18,54
ABQ,2,19,54
ABQ,2,20,53
ABQ,2,21,40
ABQ,2,22,50
ABQ,2,23,49
ABQ,2,24,52
ABQ,2,25,53
ABQ,2,26,55
ABQ,2,27,48
ABQ,2,28,13
ABQ,3,1,48
ABQ,3,2,55
ABQ,3,3,53
ABQ,3,4,53
ABQ,3,5,53
ABQ,3,6,57
ABQ,3,7,48
ABQ,3,8,56
ABQ,3,9,57
ABQ,3,10,53
ABQ,3,11,55
ABQ,3,12,55
ABQ,3,13,57
ABQ,3,14,46
ABQ,3,15,55
ABQ,3,16,56
ABQ,3,17,54
ABQ,3,18,56
ABQ,3,19,56
ABQ,3,20,58
ABQ,3,21,45
ABQ,3,22,57
ABQ,3,23,53
ABQ,3,24,54
ABQ,3,25,57
ABQ,3,26,57
ABQ,3,27,57
ABQ,3,28,45
ABQ,3,29,56
ABQ,3,30,58
ABQ,3,31,54
ABQ,4,1,58
ABQ,4,2,58
ABQ,4,3,59
ABQ,4,4,48
ABQ,4,5,58
ABQ,4,6,59
ABQ,4,7,56
ABQ,4,8,60
ABQ,4,9,61
ABQ,4,10,60
ABQ,4,11,46
ABQ,4,12,58
ABQ,4,13,60
ABQ,4,14,59
ABQ,4,15,60
ABQ,4,16,59
ABQ,4,17,58
ABQ,4,18,44
ABQ,4,19,59
ABQ,4,20,61
ABQ,4,21,61
ABQ,4,22,63
ABQ,4,23,63
ABQ,4,24,61
ABQ,4,25,46
ABQ,4,26,59
ABQ,4,27,61
ABQ,4,28,61
ABQ,4,29,62
ABQ,4,30,62
ABQ,5,1,61
ABQ,5,2,46
ABQ,5,3,60
ABQ,5,4,63
ABQ,5,5,62
ABQ,5,6,62
ABQ,5,7,64
ABQ,5,8,63
ABQ,5,9,47
ABQ,5,10,55
ABQ,5,11,61
ABQ,5,12,62
ABQ,5,13,64
ABQ,5,14,64
ABQ,5,15,63
ABQ,5,16,47
ABQ,5,17,60
ABQ,5,18,62
ABQ,5,19,62
ABQ,5,20,64
ABQ,5,21,65
ABQ,5,22,64
ABQ,5,23,47
ABQ,5,24,51
ABQ,5,25,57
ABQ,5,26,61
ABQ,5,27,62
ABQ,5,28,64
ABQ,5,29,63
ABQ,5,30,48
ABQ,5,31,60
ABQ,6,1,63
ABQ,6,2,62
ABQ,6,3,64
ABQ,6,4,65
ABQ,6,5,65
ABQ,6,6,53
ABQ,6,7,61
ABQ,6,8,63
ABQ,6,9,64
ABQ,6,10,63
ABQ,6,11,65
ABQ,6,12,64
ABQ,6,13,59
ABQ,6,14,61
ABQ,6,15,64
ABQ,6,16,65
ABQ,6,17,63
ABQ,6,18,64
ABQ,6,19,65
ABQ,6,20,62
ABQ,6,21,62
ABQ,6,22,65
ABQ,6,23,63
ABQ,6,24,65
ABQ,6,25,65
ABQ,6,26,64
ABQ,6,27,56
ABQ,6,28,62
ABQ,6,29,65
ABQ,6,30,65
ABQ,7,1,63
ABQ,7,2,66
ABQ,7,3,59
ABQ,7,4,51
ABQ,7,5,68
ABQ,7,6,68
ABQ,7,7,67
ABQ,7,8,67
ABQ,7,9,68
ABQ,7,10,67
ABQ,7,11,63
ABQ,7,12,66
ABQ,7,13,68
ABQ,7,14,67
ABQ,7,15,68
ABQ,7,16,68
ABQ,7,17,68
ABQ,7,18,60
ABQ,7,19,67
ABQ,7,20,67
ABQ,7,21,67
ABQ,7,22,68
ABQ,7,23,67
ABQ,7,24,68
ABQ,7,25,63
ABQ,7,26,67
ABQ,7,27,66
ABQ,7,28,64
ABQ,7,29,66
ABQ,7,30,65
ABQ,7,31,64
ABQ,8,1,59
ABQ,8,2,64
ABQ,8,3,64
ABQ,8,4,65
ABQ,8,5,65
ABQ,8,6,63
ABQ,8,7,63
ABQ,8,8,61
ABQ,8,9,64
ABQ,8,10,62
ABQ,8,11,63
ABQ,8,12,64
ABQ,8,13,61
ABQ,8,14,63
ABQ,8,15,54
ABQ,8,16,62
ABQ,8,17,64
ABQ,8,18,63
ABQ,8,19,64
ABQ,8,20,65
ABQ,8,21,65
ABQ,8,22,48
ABQ,8,23,63
ABQ,8,24,65
ABQ,8,25,64
ABQ,8,26,63
ABQ,8,27,65
ABQ,8,28,64
ABQ,8,29,48
ABQ,8,30,62
ABQ,8,31,65
ABQ,9,1,62
ABQ,9,2,64
ABQ,9,3,65
ABQ,9,4,65
ABQ,9,5,40
ABQ,9,6,52
ABQ,9,7,59
ABQ,9,8,59
ABQ,9,9,59
ABQ,9,10,59
ABQ,9,11,59
ABQ,9,12,45
ABQ,9,13,60
ABQ,9,14,62
ABQ,9,15,59
ABQ,9,16,61
ABQ,9,17,62
ABQ,9,18,62
ABQ,9,19,44
ABQ,9,20,60
ABQ,9,21,63
ABQ,9,22,60
ABQ,9,23,60
ABQ,9,24,61
ABQ,9,25,61
ABQ,9,26,48
ABQ,9,27,59
ABQ,9,28,62
ABQ,9,29,59
ABQ,9,30,61
ABQ,11,1,60
ABQ,11,2,61
ABQ,11,3,58
ABQ,11,4,58
ABQ,11,5,56
ABQ,11,6,58
ABQ,11,7,37
ABQ,11,8,56
ABQ,11,9,58
ABQ,11,10,55
ABQ,11,11,54
ABQ,11,12,57
ABQ,11,13,55
ABQ,11,14,37
ABQ,11,15,55
ABQ,11,16,52
ABQ,11,17,53
ABQ,11,18,52
ABQ,11,19,57
ABQ,11,20,56
ABQ,11,21,36
ABQ,11,22,53
ABQ,11,23,53
ABQ,11,24,60
ABQ,11,25,61
ABQ,11,26,38
ABQ,11,27,48
ABQ,11,28,56
ABQ,11,29,65
ABQ,11,30,59
ABQ,12,1,54
ABQ,12,2,55
ABQ,12,3,54
ABQ,12,4,51
ABQ,12,5,35
ABQ,12,6,52
ABQ,12,7,53
ABQ,12,8,53
ABQ,12,9,53
ABQ,12,10,53
ABQ,12,11,53
ABQ,12,12,34
ABQ,12,13,52
ABQ,12,14,52
ABQ,12,15,52
ABQ,12,16,54
ABQ,12,17,54
ABQ,12,18,57
ABQ,12,19,42
ABQ,12,20,54
ABQ,12,21,57
ABQ,12,22,56
ABQ,12,23,58
ABQ,12,24,48
ABQ,12,25,44
ABQ,12,26,54
ABQ,12,27,57
ABQ,12,28,47
ABQ,12,29,45
ABQ,12,30,57
ABQ,12,31,45
ATL,1,1,702
ATL,1,2,1041
ATL,1,3,934
ATL,1,4,1022
ATL,1,5,998
ATL,1,6,949
ATL,1,7,982
ATL,1,8,1003
ATL,1,9,1003
ATL,1,10,750
ATL,1,11,940
ATL,1,12,993
ATL,1,13,948
ATL,1,14,989
ATL,1,15,1024
ATL,1,16,1031
ATL,1,17,713
ATL,1,18,817
ATL,1,19,1033
ATL,1,20,964
ATL,1,21,995
ATL,1,22,1028
ATL,1,23,1025
ATL,1,24,742
ATL,1,25,949
ATL,1,26,1008
ATL,1,27,873
ATL,1,28,973
ATL,1,29,1028
ATL,1,30,1028
ATL,1,31,687
ATL,2,1,753
ATL,2,2,959
ATL,2,3,949
ATL,2,4,994
ATL,2,5,1023
ATL,2,6,1027
ATL,2,7,754
ATL,2,8,945
ATL,2,9,997
ATL,2,10,956
ATL,2,11,998
ATL,2,12,1027
ATL,2,13,1055
ATL,2,14,729
ATL,2,15,808
ATL,2,16,997
ATL,2,17,992
ATL,2,18,1040
ATL,2,19,1056
ATL,2,20,1049
ATL,2,21,760
ATL,2,22,964
ATL,2,23,1023
ATL,2,24,898
ATL,2,25,770
ATL,2,26,984
ATL,2,27,1053
ATL,2,28,783
ATL,3,1,961
ATL,3,2,1066
ATL,3,3,1054
ATL,3,4,1051
ATL,3,5,982
ATL,3,6,1073
ATL,3,7,923
ATL,3,8,1050
ATL,3,9,1084
ATL,3,10,1074
ATL,3,11,1067
ATL,3,12,1089
ATL,3,13,1088
ATL,3,14,923
ATL,3,15,1063
ATL,3,16,1088
ATL,3,17,1072
ATL,3,18,1069
ATL,3,19,1086
ATL,3,20,1081
ATL,3,21,920
ATL,3,22,1061
ATL,3,23,1080
ATL,3,24,1067
ATL,3,25,1070
ATL,3,26,1087
ATL,3,27,1091
ATL,3,28,919
ATL,3,29,1062
ATL,3,30,1082
ATL,3,31,1071
ATL,4,1,1068
ATL,4,2,1078
ATL,4,3,1078
ATL,4,4,815
ATL,4,5,961
ATL,4,6,1082
ATL,4,7,1066
ATL,4,8,1070
ATL,4,9,1076
ATL,4,10,1020
ATL,4,11,849
ATL,4,12,1042
ATL,4,13,1084
ATL,4,14,1075
ATL,4,15,1069
ATL,4,16,1084
ATL,4,17,1089
ATL,4,18,892
