datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-10-01,94.36,80.73,71.27,76.45,60.73,73.64,20.73,22.18,29.64,35.09,38.27,62.91,58.55,50.27,48.09,52.09,57.0,76.91,49.36,83.91,57.45,79.36,76.82,57.09,64.55,60.55,76.73,67.64,53.64,89.27
2015-10-02,86.83,73.62,77.71,89.54,66.46,74.5,23.0,25.08,30.0,66.25,43.71,54.75,65.29,61.46,67.17,56.88,56.83,85.38,57.17,87.17,63.17,82.75,89.29,72.58,65.75,71.0,87.54,81.12,51.29,78.54
2015-10-03,86.58,72.58,74.5,79.17,64.96,73.0,27.75,23.42,45.17,75.62,38.79,45.0,56.83,60.21,65.42,62.67,60.96,85.42,81.88,89.88,65.62,77.04,94.77,67.25,81.46,56.83,86.29,88.71,62.75,77.21
2015-10-04,80.88,64.17,69.83,55.83,68.46,72.75,27.08,30.17,66.17,76.04,40.92,51.04,64.96,69.04,70.67,73.62,78.42,84.58,75.38,90.21,91.62,68.58,87.12,68.71,78.46,70.21,72.0,64.92,63.0,68.08
2015-10-05,82.79,60.17,66.38,60.29,62.5,74.46,66.08,46.83,66.33,73.71,35.67,53.54,70.54,81.79,77.0,78.58,83.67,72.42,74.71,80.42,81.92,80.5,77.71,70.46,74.33,77.88,69.33,69.54,72.79,74.71
2015-10-06,87.71,56.0,71.88,80.58,71.25,67.04,78.08,63.58,68.83,85.75,45.75,63.92,68.83,79.21,69.33,72.54,81.21,63.33,75.46,77.88,86.88,78.75,67.83,73.0,78.5,82.83,77.38,76.17,72.83,85.0
2015-10-07,89.21,75.38,75.88,92.75,67.88,71.79,55.25,72.08,72.42,74.75,49.42,59.42,73.08,78.29,69.96,71.67,75.12,61.42,77.58,73.92,76.12,67.5,74.12,79.75,80.79,75.88,75.75,73.75,77.38,80.96
2015-10-08,95.33,88.96,78.58,96.0,70.42,72.92,38.08,56.92,66.92,48.67,65.29,53.58,76.79,67.67,75.0,76.0,68.17,65.25,65.5,73.54,77.5,70.29,77.46,82.38,77.21,70.46,81.92,77.04,64.88,79.29
2015-10-09,88.17,80.71,70.21,92.46,52.75,61.25,29.17,43.54,65.38,61.38,76.88,55.0,74.75,64.21,77.92,70.67,69.42,78.58,71.46,79.88,81.62,74.71,79.04,79.42,77.83,83.79,81.88,78.38,86.25,84.92
2015-10-10,83.83,85.0,85.71,96.0,35.42,35.42,33.33,38.04,67.21,41.46,67.0,61.5,72.33,74.75,72.42,61.0,67.04,73.0,64.12,87.62,68.46,71.83,89.79,76.62,67.21,71.38,70.25,60.46,77.0,78.71
2015-10-11,75.29,85.5,79.79,81.79,39.38,58.29,37.96,40.38,56.25,35.42,58.54,45.75,72.79,57.21,60.96,67.54,54.25,71.38,62.83,75.79,60.0,77.83,78.12,74.33,72.67,69.62,76.92,73.08,67.96,84.5
2015-10-12,82.71,84.88,80.04,82.75,51.08,48.75,38.58,40.17,37.46,23.71,64.33,49.12,77.17,51.71,56.79,51.5,48.71,64.46,57.42,81.21,51.25,70.17,80.58,76.0,62.38,72.92,74.12,71.0,64.54,85.29
2015-10-13,92.17,77.67,66.88,88.71,47.46,58.88,35.25,40.17,34.0,26.75,40.92,35.46,67.96,40.88,67.29,39.58,52.12,68.29,53.12,72.21,67.17,65.33,75.12,72.83,71.58,70.12,80.12,81.17,73.38,84.17
2015-10-14,94.25,70.75,76.46,85.75,78.62,78.12,40.5,40.75,24.54,26.92,27.33,34.04,41.71,43.42,71.21,54.75,67.46,56.46,60.33,59.75,72.08,63.17,66.42,88.67,67.58,74.62,70.29,71.17,71.75,82.29
