datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-10-01,87.0,49.0,53.0,56.0,44.0,61.0,10.0,10.0,18.0,18.0,25.0,47.0,42.0,37.0,29.0,37.0,50.0,72.0,36.0,78.0,41.0,58.0,72.0,46.0,59.0,44.0,67.0,54.0,41.0,63.0
2015-10-02,44.0,41.0,62.0,63.0,42.0,57.0,10.0,9.0,15.0,36.0,27.0,22.0,28.0,42.0,39.0,39.0,39.0,81.0,48.0,72.0,35.0,65.0,82.0,55.0,43.0,35.0,76.0,71.0,34.0,54.0
2015-10-03,67.0,46.0,56.0,45.0,36.0,57.0,15.0,9.0,28.0,48.0,24.0,21.0,34.0,39.0,36.0,48.0,47.0,81.0,54.0,77.0,40.0,60.0,87.0,40.0,49.0,43.0,76.0,76.0,45.0,58.0
2015-10-04,66.0,26.0,43.0,40.0,49.0,56.0,20.0,11.0,49.0,52.0,18.0,29.0,39.0,48.0,50.0,58.0,71.0,64.0,50.0,68.0,77.0,56.0,77.0,45.0,62.0,57.0,55.0,55.0,38.0,54.0
2015-10-05,55.0,26.0,43.0,40.0,47.0,60.0,26.0,22.0,40.0,40.0,23.0,38.0,45.0,68.0,48.0,60.0,77.0,45.0,53.0,64.0,53.0,61.0,60.0,48.0,43.0,67.0,45.0,54.0,46.0,58.0
2015-10-06,72.0,28.0,53.0,49.0,53.0,50.0,40.0,34.0,37.0,55.0,27.0,39.0,45.0,64.0,46.0,50.0,56.0,33.0,50.0,56.0,77.0,57.0,31.0,51.0,56.0,67.0,31.0,37.0,62.0,48.0
2015-10-07,67.0,38.0,56.0,77.0,53.0,57.0,28.0,41.0,37.0,30.0,31.0,35.0,40.0,50.0,41.0,56.0,49.0,30.0,47.0,38.0,43.0,42.0,36.0,58.0,60.0,52.0,46.0,49.0,48.0,55.0
2015-10-08,93.0,60.0,66.0,82.0,45.0,54.0,17.0,24.0,45.0,16.0,37.0,33.0,51.0,40.0,50.0,42.0,44.0,39.0,47.0,39.0,56.0,54.0,42.0,62.0,49.0,59.0,53.0,53.0,46.0,36.0
2015-10-09,63.0,56.0,33.0,73.0,17.0,28.0,18.0,24.0,37.0,33.0,47.0,37.0,49.0,46.0,54.0,59.0,53.0,42.0,63.0,57.0,64.0,46.0,47.0,62.0,68.0,67.0,65.0,54.0,65.0,54.0
2015-10-10,72.0,64.0,53.0,82.0,17.0,23.0,18.0,22.0,33.0,9.0,33.0,30.0,40.0,38.0,38.0,37.0,42.0,43.0,32.0,73.0,36.0,48.0,68.0,52.0,41.0,57.0,42.0,39.0,46.0,54.0
2015-10-11,67.0,55.0,56.0,59.0,19.0,24.0,19.0,20.0,18.0,14.0,30.0,29.0,43.0,42.0,39.0,28.0,27.0,37.0,25.0,38.0,31.0,57.0,52.0,51.0,39.0,59.0,40.0,37.0,59.0,42.0
2015-10-12,71.0,55.0,68.0,60.0,27.0,30.0,12.0,24.0,18.0,11.0,33.0,33.0,46.0,16.0,40.0,29.0,23.0,36.0,41.0,41.0,35.0,47.0,47.0,51.0,37.0,63.0,33.0,36.0,46.0,33.0
2015-10-13,81.0,52.0,28.0,72.0,27.0,40.0,14.0,23.0,10.0,10.0,12.0,11.0,18.0,22.0,38.0,20.0,37.0,31.0,39.0,36.0,55.0,40.0,36.0,51.0,52.0,43.0,56.0,48.0,60.0,57.0
2015-10-14,81.0,42.0,53.0,67.0,61.0,69.0,17.0,16.0,8.0,10.0,11.0,10.0,16.0,25.0,24.0,23.0,31.0,22.0,25.0,31.0,44.0,25.0,25.0,70.0,61.0,50.0,52.0,52.0,57.0,58.0
2015-10-15,87.0,29.0,36.0,40.0,61.0,65.0,20.0,19.0,12.0,11.0,23.0,13.0,24.0,23.0,30.0,21.0,15.0,24.0,19.0,30.0,34.0,25.0,23.0,55.0,41.0,39.0,34.0,20.0,61.0,38.0
2015-10-16,58.0,29.0,68.0,52.0,64.0,70.0,25.0,23.0,12.0,32.0,27.0,19.0,28.0,29.0,40.0,26.0,25.0,18.0,22.0,40.0,44.0,25.0,43.0,65.0,47.0,62.0,34.0,38.0,57.0,44.0
2015-10-17,62.0,63.0,60.0,74.0,54.0,69.0,39.0,35.0,35.0,16.0,22.0,19.0,29.0,30.0,32.0,25.0,29.0,25.0,34.0,29.0,45.0,51.0,24.0,61.0,51.0,56.0,39.0,30.0,44.0,34.0
2015-10-18,76.0,68.0,18.0,82.0,57.0,69.0,39.0,35.0,33.0,22.0,15.0,17.0,19.0,24.0,25.0,21.0,25.0,20.0,19.0,18.0,34.0,50.0,20.0,58.0,53.0,41.0,37.0,26.0,44.0,40.0
2015-10-19,85.0,77.0,64.0,72.0,44.0,53.0,31.0,42.0,37.0,28.0,24.0,18.0,25.0,22.0,33.0,20.0,24.0,21.0,16.0,31.0,22.0,50.0,26.0,58.0,33.0,58.0,37.0,32.0,44.0,40.0
2015-10-20,82.0,59.0,60.0,63.0,44.0,50.0,31.0,40.0,30.0,26.0,30.0,22.0,28.0,27.0,49.0,22.0,25.0,28.0,23.0,37.0,25.0,56.0,24.0,58.0,34.0,41.0,26.0,28.0,54.0,39.0
