datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-01-01,38,32,53,35,53,52,40,42,29,25,42,36,45,32,26,37,30,41,29,50,26,63,48,82,33,27,34,32,28,31
2015-01-02,38,35,49,38,53,52,42,46,32,31,43,40,57,35,19,40,31,40,37,52,32,68,56,80,36,30,39,39,26,38
2015-01-03,38,41,52,41,56,56,45,47,31,27,54,48,57,40,26,41,35,62,55,59,36,74,51,82,51,35,40,37,15,34
2015-01-04,39,45,51,44,61,62,46,56,35,38,47,46,49,37,21,37,36,62,54,64,36,76,64,83,58,42,61,52,34,55
2015-01-05,42,48,55,52,64,71,52,61,38,54,46,40,45,22,-3,21,18,39,25,48,26,72,55,83,39,34,56,50,35,53
2015-01-06,47,50,58,51,72,76,58,66,44,55,61,52,56,24,2,27,14,40,22,47,17,65,51,83,21,17,25,27,10,25
2015-01-07,46,45,60,47,74,75,61,72,40,46,56,44,53,19,1,22,14,33,16,43,16,59,43,80,20,18,23,23,11,24
2015-01-08,45,42,58,44,73,71,58,67,36,49,46,35,48,27,10,21,12,23,12,29,10,54,26,73,15,17,21,21,2,22
2015-01-09,44,40,59,45,66,64,58,68,33,38,39,35,38,27,8,24,17,26,19,36,16,51,40,79,22,23,31,30,20,29
2015-01-10,43,38,57,43,64,61,59,62,36,49,37,36,40,29,12,25,13,31,15,40,10,58,36,78,14,17,24,22,18,27
2015-01-11,44,42,57,46,59,63,53,68,47,41,50,42,53,35,9,33,26,44,29,42,23,64,45,78,35,27,34,29,23,28
2015-01-12,44,44,58,47,59,62,55,65,40,36,52,44,53,34,5,34,28,47,36,46,26,66,45,77,38,28,37,37,29,38
2015-01-13,43,43,58,44,59,63,51,62,37,33,46,41,48,21,5,25,22,41,25,47,17,62,42,77,33,19,37,34,22,37
2015-01-14,43,40,56,43,62,65,56,60,36,36,42,41,46,33,17,24,16,36,18,47,12,59,39,77,29,21,27,24,8,31
2015-01-15,43,39,56,41,64,69,53,64,38,44,53,48,49,41,31,42,28,37,31,41,18,55,41,78,29,21,32,29,10,30
2015-01-16,47,49,57,48,67,71,53,66,38,48,62,59,55,52,26,48,29,48,37,48,27,54,50,73,30,28,35,34,27,32
2015-01-17,46,54,58,45,71,71,58,67,44,45,67,60,61,52,36,54,37,52,46,54,37,63,50,77,46,33,27,25,4,25
2015-01-18,49,54,59,52,73,71,59,70,44,54,66,64,62,53,34,53,36,51,45,53,39,63,55,79,45,40,37,38,29,48
2015-01-19,47,47,58,48,71,70,59,71,48,51,72,65,66,59,36,53,34,56,45,59,32,62,58,74,37,34,37,37,33,48
2015-01-20,46,45,57,46,64,67,54,69,47,43,77,67,71,52,33,47,35,55,47,64,27,66,63,76,38,21,39,36,20,37
2015-01-21,44,42,56,43,63,67,51,67,40,31,69,61,66,48,30,46,34,53,41,60,25,68,59,74,39,24,31,28,16,32
2015-01-22,44,40,56,45,62,64,51,64,37,30,62,56,63,42,27,40,31,45,37,56,27,65,53,81,34,27,38,35,18,35
2015-01-23,47,44,60,49,65,67,54,60,33,37,46,48,47,45,36,39,33,41,34,52,28,71,47,80,37,32,35,34,32,32
2015-01-24,48,59,61,55,69,71,59,67,36,45,54,55,53,52,35,49,36,46,41,45,34,69,48,76,34,34,36,36,32,34
2015-01-25,50,58,60,56,74,76,66,71,41,49,65,61,61,52,33,46,35,46,38,53,33,56,52,68,38,34,39,38,30,36
2015-01-26,49,56,58,56,70,68,61,67,45,59,73,65,62,56,40,40,28,44,32,52,22,56,52,72,35,18,34,27,11,31
2015-01-27,51,52,60,53,64,68,57,64,49,60,76,73,71,54,36,44,29,45,28,48,22,58,43,69,30,20,28,29,18,31
2015-01-28,47,55,60,51,63,70,59,71,54,50,77,76,75,68,38,47,30,46,33,49,22,55,44,68,25,24,29,27,21,25
2015-01-29,46,52,60,48,64,66,57,66,46,41,76,73,74,65,34,52,36,61,45,57,32,64,48,75,41,32,29,26,20,30
2015-01-30,46,47,60,48,61,64,54,63,43,47,70,58,69,40,22,39,33,50,35,54,31,61,46,76,40,30,34,33,27,36
2015-01-31,46,45,64,47,64,63,53,57,34,41,66,55,64,36,28,42,33,43,38,49,27,58,46,76,26,23,25,24,12,31
2015-02-01,45,43,62,45,70,70,59,64,34,33,70,59,74,35,24,44,32,52,37,54,25,69,54,76,35,25,32,30,9,27
2015-02-02,45,51,60,48,72,72,63,63,41,46,63,44,66,25,12,39,26,52,36,57,18,65,58,84,45,13,47,40,2,35
2015-02-03,45,48,62,49,74,73,65,69,49,52,47,51,48,43,14,44,23,41,33,44,17,55,41,78,26,19,30,28,14,27
2015-02-04,45,49,61,47,71,72,64,71,53,43,56,61,58,41,13,42,26,50,40,51,29,60,53,78,40,31,39,36,23,36
2015-02-05,48,55,59,54,71,74,65,74,55,55,51,56,53,27,14,28,13,44,28,45,20,57,46,79,38,24,37,31,20,37
2015-02-06,51,55,60,55,68,73,66,74,57,60,56,55,56,49,28,48,21,45,33,48,24,53,43,76,25,24,26,22,14,20
2015-02-07,50,53,62,54,64,69,69,74,59,61,66,67,66,61,35,59,36,57,47,60,34,61,57,74,41,26,34,29,13,28
2015-02-08,50,51,60,53,70,73,70,73,61,57,74,71,74,59,30,64,36,56,54,66,38,68,66,78,49,24,42,38,9,34
2015-02-09,50,52,59,53,68,70,69,75,63,57,78,70,75,53,26,55,31,57,47,62,31,63,61,71,46,21,38,35,9,35
2015-02-10,48,51,60,51,67,72,66,74,62,50,78,70,70,50,27,41,26,43,34,56,21,61,54,70,30,22,37,34,25,33
2015-02-11,48,56,61,53,72,76,64,72,55,44,77,67,74,44,27,43,31,50,42,56,31,60,50,72,35,26,34,30,16,30
2015-02-12,48,56,63,53,74,74,66,72,48,52,70,60,66,29,11,35,27,45,36,50,29,64,48,76,34,26,37,36,21,27
2015-02-13,49,53,63,54,79,79,68,75,53,54,67,63,62,44,24,35,20,34,26,40,14,60,36,72,18,11,27,26,12,26
2015-02-14,49,50,64,54,78,78,70,76,57,58,74,72,73,37,19,32,23,47,26,56,22,58,53,67,26,21,29,26,7,29
2015-02-15,50,56,65,50,78,77,72,76,60,50,72,67,69,22,6,21,11,34,15,55,3,57,49,73,16,9,25,20,8,31
2015-02-16,49,54,63,53,74,73,68,73,56,29,71,65,67,24,18,23,8,29,15,48,3,69,33,76,10,5,20,19,7,20
2015-02-17,49,55,61,51,69,69,62,69,47,31,50,48,48,26,15,31,14,28,25,51,13,67,37,82,20,13,23,21,12,24
2015-02-18,48,53,58,53,72,72,65,72,54,43,60,54,58,22,6,28,12,24,22,35,13,52,35,74,21,18,27,27,17,29
2015-02-19,48,49,60,51,69,70,69,74,60,51,70,59,61,19,3,15,1,20,7,29,9,50,27,57,14,12,18,17,20,30
2015-02-20,47,49,63,49,65,66,68,73,60,49,78,69,66,42,22,30,14,30,15,38,4,45,24,65,11,6,15,15,10,20
2015-02-21,48,51,62,50,62,62,65,71,59,36,79,69,74,40,20,39,26,52,34,56,21,67,42,75,35,23,26,26,18,31
2015-02-22,48,50,60,49,58,57,59,69,55,24,74,58,72,35,12,31,23,45,25,60,23,74,56,80,36,23,46,43,25,37
2015-02-23,46,52,59,49,52,54,51,66,40,21,58,38,62,18,12,19,6,35,18,55,14,74,51,82,31,15,34,36,25,34
2015-02-24,46,52,60,51,60,61,50,60,34,37,47,34,44,40,27,36,24,34,22,43,14,65,38,84,26,16,19,18,13,19
2015-02-25,46,49,61,49,68,68,65,63,41,36,59,38,46,50,16,43,24,36,27,37,22,55,40,85,31,18,32,30,23,30
2015-02-26,46,47,65,49,68,66,64,67,40,28,58,34,53,40,9,36,20,41,25,46,11,65,41,86,28,14,26,23,10,28
2015-02-27,49,47,62,49,63,64,58,69,37,20,48,33,50,17,12,20,10,32,15,46,13,53,44,80,21,14,27,24,14,23
2015-02-28,48,49,56,49,58,59,55,66,35,21,49,34,58,25,17,28,14,42,21,47,16,59,38,83,25,22,23,24,22,25
2015-03-01,48,52,60,50,51,52,54,64,37,22,52,41,67,31,22,33,21,47,31,49,23,62,41,81,38,24,28,25,26,28
2015-03-02,47,52,58,50,48,50,49,62,41,47,49,43,63,36,25,35,21,45,27,64,25,69,64,82,37,26,34,33,28,33
2015-03-03,47,50,59,50,56,56,51,55,46,41,65,54,73,54,26,51,35,61,43,61,32,73,55,82,49,28,30,29,24,30
2015-03-04,48,52,60,50,62,64,50,62,44,21,74,55,78,45,17,46,33,62,40,74,33,79,73,84,51,31,44,44,35,43
2015-03-05,51,54,62,52,69,71,58,65,42,38,63,39,72,31,10,23,10,35,21,71,21,81,70,83,33,24,39,41,32,39
2015-03-06,55,60,63,55,74,76,63,75,51,44,52,42,50,53,31,45,22,35,27,46,18,74,38,84,25,21,24,26,20,25
2015-03-07,56,59,65,56,78,79,66,78,57,47,61,55,56,62,34,62,36,51,42,57,38,62,56,80,38,29,35,36,28,32
2015-03-08,56,63,64,58,77,73,70,75,55,45,58,49,54,66,44,60,34,60,43,66,35,67,66,75,45,33,43,46,31,37
2015-03-09,54,61,61,57,77,72,68,77,57,51,58,51,64,63,52,56,35,58,46,67,39,72,61,82,52,39,45,52,36,41
2015-03-10,56,60,60,55,76,77,70,79,59,53,62,62,63,69,60,53,39,63,47,77,40,79,69,83,49,43,47,44,44,42
2015-03-11,53,58,59,53,70,73,65,79,62,60,66,67,64,73,54,67,38,64,57,75,43,78,75,84,55,43,55,50,45,47
2015-03-12,54,59,64,58,74,78,70,79,61,55,71,61,61,71,61,61,41,68,52,71,36,76,67,84,47,39,47,44,38,42
2015-03-13,57,64,65,60,79,82,71,82,60,50,75,59,66,71,60,59,46,65,55,66,43,73,58,80,55,38,44,37,28,35
2015-03-14,57,62,69,59,84,86,75,82,58,59,75,61,73,66,57,56,46,65,54,67,47,77,56,84,55,44,51,45,37,40
2015-03-15,50,54,68,53,84,86,76,81,63,68,73,68,73,72,67,66,51,66,59,68,45,75,70,86,48,41,51,44,36,39
2015-03-16,50,57,62,52,82,84,75,83,66,72,75,74,76,80,63,73,58,71,66,77,57,76,76,82,60,48,53,47,35,39
2015-03-17,50,56,63,55,76,78,74,82,63,64,74,77,78,76,47,67,56,71,66,78,54,83,78,84,57,45,59,50,31,43
2015-03-18,50,56,63,55,70,71,70,78,62,62,70,74,74,52,46,49,40,62,45,73,43,80,70,86,41,35,43,40,23,36
2015-03-19,50,59,65,58,76,71,70,70,58,54,78,75,78,43,49,46,41,52,47,67,37,73,55,85,45,33,42,39,28,30
2015-03-20,50,59,63,57,77,78,73,74,53,56,76,71,79,63,56,58,47,60,51,69,44,80,66,87,43,43,35,35,37,31
2015-03-21,49,56,60,55,75,74,75,79,59,61,66,61,73,67,52,64,46,63,58,69,46,77,65,88,54,40,46,37,36,36
2015-03-22,48,50,59,52,69,68,71,80,66,62,74,65,71,71,35,59,35,59,52,65,37,71,64,87,48,31,44,38,30,37
2015-03-23,49,47,59,51,68,68,70,79,66,62,81,71,75,67,37,66,32,67,43,61,29,66,64,88,39,25,39,36,23,29
2015-03-24,48,48,62,50,72,71,72,80,65,55,83,81,78,61,39,62,32,71,42,67,37,69,69,83,46,33,39,37,31,33
2015-03-25,48,55,65,50,78,76,70,81,62,51,83,78,78,60,38,65,42,72,58,71,49,76,71,82,55,46,43,41,42,41
2015-03-26,57,65,70,61,83,84,73,82,59,53,80,75,73,51,37,59,39,67,51,72,46,75,73,87,57,43,62,54,43,50
2015-03-27,57,64,68,62,85,85,78,87,70,61,75,64,72,47,34,42,36,45,37,69,38,70,70,85,42,35,58,54,36,47
2015-03-28,55,60,66,60,82,83,82,88,74,67,80,80,79,52,41,43,30,43,36,50,32,63,47,74,32,28,40,41,30,38
2015-03-29,50,59,66,54,80,78,81,87,74,61,86,81,82,67,51,52,40,59,47,57,38,62,50,77,42,37,42,45,38,38
2015-03-30,55,62,64,60,81,77,82,85,72,66,85,81,81,70,51,60,46,61,52,67,46,74,63,81,48,40,53,49,40,43
2015-03-31,54,60,63,60,76,75,82,86,73,67,83,78,79,77,56,71,50,68,64,68,41,74,66,83,46,37,52,47,37,44
2015-04-01,50,45,62,50,70,69,77,83,70,65,81,77,79,84,75,73,58,73,66,76,47,74,67,84,52,40,49,45,36,41
2015-04-02,49,48,63,53,69,68,70,81,70,55,85,85,82,75,72,70,56,78,64,74,58,75,75,82,65,55,59,55,55,50
2015-04-03,48,48,62,52,73,77,64,80,66,43,87,82,84,64,54,62,46,76,60,76,52,81,80,84,64,52,66,64,54,58
2015-04-04,47,49,60,52,75,77,72,82,67,57,83,68,80,62,48,57,48,59,51,74,42,79,76,86,56,42,62,55,48,51
2015-04-05,51,50,56,55,69,68,71,83,70,65,76,60,73,65,51,63,52,66,60,69,51,71,65,86,56,38,57,53,33,44
2015-04-06,51,51,56,54,62,62,67,80,71,66,85,79,79,74,49,64,51,63,56,78,56,74,74,83,64,41,68,58,37,42
2015-04-07,55,55,55,54,55,61,64,76,72,65,87,84,81,88,47,75,49,73,68,78,50,80,78,85,61,42,73,59,42,40
2015-04-08,55,52,56,58,62,63,61,72,71,63,84,82,85,83,52,78,43,81,72,85,51,82,84,84,65,39,60,51,43,39
2015-04-09,56,58,59,58,69,70,65,75,65,55,88,84,85,80,49,80,57,80,73,85,59,82,85,85,66,48,48,45,46,38
2015-04-10,54,56,61,57,68,67,70,79,70,54,84,76,82,67,53,72,56,78,70,81,60,83,79,87,64,55,64,58,59,53
2015-04-11,48,53,63,52,72,70,74,80,70,62,72,73,77,73,64,63,50,69,59,73,53,79,72,85,54,47,61,57,50,52
2015-04-12,45,52,66,52,77,75,76,80,66,60,74,79,75,68,71,72,56,78,69,68,58,72,76,85,65,54,64,56,56,53
2015-04-13,44,51,64,51,75,75,81,84,64,62,77,77,74,69,66,67,55,73,66,67,65,79,75,86,73,62,72,61,67,57
