datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2015-01-01,21,17,42,23,22,19,19,20,8,-4,37,33,40,15,6,16,20,18,17,28,16,53,23,70,21,20,20,20,15,23
2015-01-02,27,19,37,27,20,20,11,21,9,3,39,36,43,21,-9,31,24,33,23,40,24,56,36,71,27,27,29,30,17,32
2015-01-03,27,29,39,34,23,22,13,19,-1,2,37,40,49,30,14,36,31,41,30,48,21,61,45,72,20,18,20,20,-1,23
2015-01-04,36,36,41,34,29,23,14,23,10,-3,33,29,39,13,-6,21,20,40,27,49,30,67,47,73,42,35,41,35,8,33
2015-01-05,36,45,41,45,27,28,18,29,13,18,26,19,31,-1,-16,8,2,17,6,34,10,53,37,71,16,15,26,28,1,28
2015-01-06,42,36,44,44,30,32,23,33,18,27,31,27,32,17,-10,21,6,22,14,26,6,49,25,71,12,11,18,18,-10,17
2015-01-07,35,28,46,39,32,33,27,35,21,18,41,31,39,3,-9,5,4,12,0,27,4,45,27,69,12,2,16,11,-8,15
2015-01-08,32,27,48,39,48,40,27,53,14,23,27,16,30,-10,-11,-8,-4,2,-13,13,2,35,10,57,5,2,8,7,-17,6
2015-01-09,34,30,49,37,50,45,27,37,19,12,36,24,36,10,-1,13,2,19,6,18,7,39,20,60,14,16,13,15,1,21
2015-01-10,38,28,47,38,40,40,34,48,19,16,31,25,35,-3,-10,-3,-5,6,-12,21,4,42,20,60,2,11,12,11,1,18
2015-01-11,42,38,48,42,51,48,37,40,21,19,34,33,36,22,-7,21,15,16,11,25,5,54,17,68,5,12,5,4,3,16
2015-01-12,43,36,47,43,39,40,40,47,26,23,31,36,43,14,-11,26,17,40,27,38,21,59,36,71,30,22,23,20,20,29
2015-01-13,41,29,48,36,35,42,31,45,29,19,37,33,42,2,-23,12,3,29,12,40,2,55,34,68,17,0,22,15,-9,21
2015-01-14,41,30,45,32,34,35,30,35,30,13,38,34,40,10,4,3,3,24,4,37,-11,51,29,65,17,4,14,13,-14,18
2015-01-15,39,28,43,31,28,32,22,34,21,9,39,35,38,12,17,20,15,24,11,29,0,43,22,65,10,5,13,10,-10,28
2015-01-16,43,41,48,43,33,29,20,34,15,13,32,30,34,18,19,17,24,18,19,30,14,43,27,63,24,13,18,20,6,25
2015-01-17,43,33,47,34,36,36,24,31,18,31,38,41,36,41,25,34,26,25,25,27,6,42,26,55,11,1,8,8,-12,13
2015-01-18,42,46,51,43,45,35,27,32,16,22,49,33,45,33,25,35,32,38,34,36,30,47,35,60,36,34,20,18,1,21
2015-01-19,40,44,54,44,43,37,30,35,20,29,37,45,38,26,13,25,26,31,20,32,22,41,31,53,32,21,29,29,22,38
2015-01-20,42,31,47,38,44,38,29,35,23,25,40,39,50,30,28,29,32,37,28,45,23,42,41,60,21,10,23,22,0,30
2015-01-21,40,28,45,34,34,34,35,46,28,17,50,42,49,29,24,30,31,32,30,39,18,52,40,65,20,5,16,12,-5,23
2015-01-22,41,34,46,40,31,33,22,39,25,2,46,40,47,23,11,20,25,31,28,37,20,49,35,66,27,13,20,23,0,30
2015-01-23,44,39,42,44,32,34,25,33,11,0,40,39,43,15,26,29,26,34,21,44,17,56,37,68,16,23,14,13,8,24
2015-01-24,46,44,48,50,53,34,36,38,11,6,30,33,36,28,25,20,29,27,19,39,15,52,37,71,29,21,28,26,28,31
2015-01-25,47,38,46,47,45,35,36,35,15,31,39,39,38,41,17,39,29,35,33,29,19,39,28,48,31,13,29,23,7,30
