datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2014-01-01,-296.45,-297.45,-355.41,-319.18,-392.23,-362.68,-389.82,-396.86,-380.05,-349.82,-332.41,-355.77,-324.55,-338.09,-336.5,-347.45,-299.91,-382.0,-349.45,-343.41,-312.45,-302.86,-321.36,-302.64,-348.0,-294.82,-346.18,-319.23,-319.23,-366.09,-310.0,-324.55,-332.05,-313.05,-310.14,-292.0
2014-01-02,-293.12,-297.38,-355.38,-322.92,-403.21,-354.0,-383.21,-406.46,-374.88,-339.83,-346.96,-359.67,-333.38,-337.5,-340.67,-330.21,-299.0,-378.04,-350.92,-338.38,-313.12,-299.54,-310.04,-311.54,-348.0,-291.46,-324.83,-315.0,-304.5,-320.21,-310.0,-330.21,-338.25,-325.71,-324.96,-292.0
2014-01-03,-300.22,-301.87,-352.09,-320.87,-402.74,-362.09,-385.7,-404.26,-380.61,-366.04,-355.43,-356.17,-347.13,-338.43,-331.13,-329.48,-299.0,-376.74,-346.57,-346.43,-326.22,-309.96,-358.22,-313.83,-348.0,-299.39,-323.91,-318.96,-319.96,-314.74,-310.0,-322.7,-335.74,-347.09,-350.65,-292.0
2014-01-04,-298.9,-302.85,-357.65,-319.65,-357.6,-359.6,-376.95,-396.7,-385.5,-333.4,-323.8,-347.8,-327.4,-343.05,-333.3,-350.65,-304.35,-382.0,-352.2,-351.7,-335.05,-305.55,-335.95,-300.35,-347.9,-289.35,-340.3,-327.25,-308.95,-344.45,-310.0,-351.75,-343.95,-344.7,-345.15,-292.0
2014-01-05,-299.61,-301.22,-353.17,-320.04,-361.26,-361.0,-402.0,-399.43,-399.61,-319.0,-336.78,-348.17,-321.91,-333.39,-340.96,-323.96,-298.17,-382.0,-336.26,-336.65,-305.48,-306.35,-310.13,-305.09,-344.83,-283.0,-315.09,-317.17,-307.65,-335.09,-310.0,-356.74,-353.83,-338.35,-332.91,-292.0
2014-01-06,-298.33,-365.0,-350.67,-316.11,-415.61,-360.61,-411.78,-406.72,-405.33,-340.39,-365.28,-367.5,-372.83,-344.78,-343.89,-333.39,-299.0,-377.83,-351.44,-340.61,-310.17,-304.61,-323.89,-291.78,-340.28,-283.0,-324.39,-309.89,-305.67,-297.06,-310.0,-339.11,-351.78,-327.5,-326.17,-292.0
2014-01-07,-298.92,-316.92,-351.54,-321.42,-401.88,-362.92,-408.33,-407.25,-396.54,-363.71,-368.54,-374.5,-367.79,-345.96,-338.17,-351.0,-300.83,-381.25,-351.5,-381.5,-325.88,-307.62,-374.0,-315.12,-344.42,-300.71,-355.5,-352.79,-322.29,-370.12,-310.0,-358.04,-346.62,-347.33,-347.83,-292.0
2014-01-08,-282.21,-293.08,-338.79,-307.12,-381.79,-355.46,-394.54,-419.75,-394.67,-346.46,-351.75,-345.92,-325.71,-344.04,-327.79,-339.79,-304.38,-379.62,-344.71,-349.92,-324.92,-313.42,-361.21,-296.38,-329.58,-302.88,-352.38,-350.21,-332.75,-366.46,-310.0,-399.17,-355.88,-383.88,-389.38,-292.0
2014-01-09,-297.19,-296.24,-337.9,-319.29,-337.05,-362.0,-390.33,-397.24,-381.52,-360.33,-297.48,-318.71,-314.52,-330.24,-326.9,-315.05,-300.95,-377.24,-345.81,-360.67,-313.57,-304.24,-354.67,-287.57,-334.29,-292.86,-347.57,-333.76,-320.19,-363.19,-309.67,-364.57,-338.86,-352.48,-354.57,-294.67
2014-01-10,-297.0,-302.83,-332.83,-317.87,-343.17,-359.57,-388.61,-401.83,-395.35,-378.48,-302.48,-324.39,-314.57,-308.61,-320.91,-302.57,-298.0,-376.57,-323.52,-338.13,-305.61,-302.3,-318.83,-290.61,-339.17,-283.09,-325.83,-317.78,-310.83,-323.61,-310.0,-321.96,-314.43,-334.74,-332.7,-292.0
